SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"13.1.2.4. CEREALES GRANO-TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2012",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,–,–,2276,7814
Lugo,–,–,3985,9688
Ourense,–,–,9301,32749
Pontevedra,–,–,914,1905
 GALICIA,–,–,16476,52156
,,,,
 P. DE ASTURIAS,–,–,55,61
,,,,
 CANTABRIA,98,122,900,1119
,,,,
Álava,–,–,25820,160084
 PAÍS VASCO,–,–,25820,160084
,,,,
 NAVARRA,3500,2115,74677,324836
,,,,
 LA RIOJA,120,415,35413,146469
,,,,
Huesca,2696,3431,55847,150078
Teruel,1434,1354,41621,65303
Zaragoza,118003,132584,56577,118652
 ARAGÓN,122133,137369,154045,334033
,,,,
Barcelona,45,166,22400,82818
Girona,15,55,14905,54723
Lleida,156,524,51704,174058
Tarragona,–,–,7564,22478
 CATALUÑA,216,745,96573,334077
,,,,
 BALEARES,3,12,4345,17877
,,,,
Ávila,3,7,32886,73603
Burgos,612,1522,219031,847469
León,35,180,53395,212227
Palencia,65,178,112429,308777
Salamanca,69,177,65250,173472
Segovia,261,668,66533,154419
Soria,145,171,100054,139138
Valladolid,474,1434,71014,186928
Zamora,112,244,61378,181702
 CASTILLA Y LEÓN,1776,4581,781970,2277735
,,,,
 MADRID,4,14426,24865,80755
,,,,
Albacete,100,326,85324,210826
Ciudad Real,209,365,56288,98311
Cuenca,486,874,41084,62672
Guadalajara,8,18,71725,145482
Toledo,2081,3556,65827,118861
 CASTILLA – LA MANCHA,2884,5139,320248,636152
,,,,
Alicante,78,256,1672,4018
Castellón,15,32,634,1155
Valencia,–,–,1791,2461
 C. VALENCIANA,93,288,4097,7634
,,,,
 R. DE MURCIA,815,1520,7179,13390
,,,,
Badajoz,7740,10244,72392,107909
Cáceres,189,215,6022,6370
 EXTREMADURA,7929,10459,78414,114279
,,,,
Almería,291,163,1985,1498
Cádiz,60719,101704,13208,32869
Córdoba,60803,57606,31337,30367
Granada,2586,4464,13425,22778
Huelva ,11807,10036,4050,4455
Jaén,7510,5265,3490,4633
Málaga,20371,40704,5415,8935
Sevilla,107395,102360,78967,84094
 ANDALUCÍA,271482,322302,151877,189629
,,,,
Las Palmas,–,–,–,–
S.C. de Tenerife,–,–,164,49
 CANARIAS,–,–,164,49
,,,,
ESPAÑA,411053,499493,1777118,4690335
