timestamp,asset_id,asset_family,sequence_id,cycle_id,cycle_index,phase,cip_subphase,shift_id,episode_id,episode_progress,stage_progress,batch_id,batch_elapsed_min,milk_type,batch_thermal_history_factor,protein_g_L_nominal,fat_g_L_nominal,solids_g_L_nominal,Ca_mM_nominal,PO4_mM_nominal,pH_nominal,ambient_T_C,ambient_RH_pct,flow_kg_s,pressure_in_kPa,pressure_out_kPa,dP_kPa,Th_in_C,Tc_in_C,Th_out_C,Tc_out_C,Twall_C,vibration_mm_s,flow_sp_kg_s,Th_sp_C,Tc_sp_C,m_org_kg_m2,m_min_kg_m2,m_total_kg_m2,Rf_m2K_W,UA_W_K,Q_W,rf_stage_thr_incipient,rf_stage_thr_advanced,fouling_stage,fouling_stage_name,fouling_onset_event,fouling_alarm,fouling_warning_alarm,fouling_critical_alarm,foul_score,clog_event,clog_onset_event,clog_alarm,maintenance_active,maintenance_planned,maintenance_type,fault_type,downtime_unplanned,planned_event_type,ttm_to_planned_cip_min,ttm_to_unplanned_event_min,time_to_fouling_onset_min,time_to_clog_onset_min,fouling_onset_within_30min,clog_onset_within_15min,unplanned_event_within_60min,time_since_last_cip_min,time_since_last_maintenance_min,last_maintenance_type,next_unplanned_fault_type,hot_drop_C,cold_lift_C,thermal_eff_proxy,heat_proxy,severity_primary,fouling_stage_physical,dt_min,row_in_sequence,sequence_rows,sequence_progress,sequence_start,sequence_end,is_production,is_non_production,is_event_horizon_row,is_informative_row,is_low_information_production
2026-01-08 13:46:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.001192,0.002066,asset_06_B00007,0.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,18.602297,41.520161,5.103925,257.674928,145.327343,112.347585,82.013365,45.244229,78.314697,49.569903,52.764629,1.920897,5.083687,81.618013,44.754196,0.0085305063,0.0982387011,0.1067692074,9.09726e-05,2417.721859,79428.943997,0.0005525,0.001105,0,stable,0,0,0,0,0.041164,0,0,0,0,0,none,none,0,none,794.0,767.0,529.0,734.0,0,0,0,213.0,213.0,scheduled_CIP,clogging,3.698667999999998,4.325673999999999,0.11764415677322415,18.87772407189999,9.09726e-05,0,1.0,0,839,0.0,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
2026-01-08 13:47:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.002384,0.004132,asset_06_B00007,1.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,18.506017,42.872503,5.157051,258.65749,143.694372,114.963118,81.64956,44.96046,78.18175,49.329476,56.044748,1.609533,5.083687,81.618013,44.754196,0.0085326281,0.0982383788,0.1067710068,9.09805e-05,2417.712634,78914.808075,0.0005525,0.001105,0,stable,0,0,0,0,0.041168,0,0,0,0,0,none,none,0,none,793.0,766.0,528.0,733.0,0,0,0,214.0,214.0,scheduled_CIP,clogging,3.46781,4.369016000000002,0.11908212520884956,17.88367302831,9.09805e-05,0,1.0,1,839,0.0011933174224343676,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
2026-01-08 13:48:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.003576,0.006198,asset_06_B00007,2.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,18.198519,46.912548,5.143905,258.651094,146.819379,111.831716,81.948558,45.295601,78.072182,49.388076,58.948161,1.616603,5.083687,81.618013,44.754196,0.0085361573,0.0982378426,0.1067739999,9.09936e-05,2417.69729,79351.197587,0.0005525,0.001105,0,stable,0,0,0,0,0.041174,0,0,0,0,0,none,none,0,none,792.0,765.0,527.0,732.0,0,0,0,215.0,215.0,scheduled_CIP,clogging,3.8763760000000076,4.092475,0.11165470223862155,19.93970988828004,9.09936e-05,0,1.0,2,839,0.002386634844868735,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
2026-01-08 13:49:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.004768,0.008264,asset_06_B00007,3.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,18.656948,46.127355,5.044863,255.891143,144.206795,111.684348,82.04304,45.435936,77.773346,49.059432,61.483916,1.98504,5.083687,81.618013,44.754196,0.008541088,0.0982370935,0.1067781815,9.10119e-05,2417.675852,78797.934243,0.0005525,0.001105,0,stable,0,0,0,0,0.041182,0,0,0,0,0,none,none,0,none,791.0,764.0,526.0,731.0,0,0,0,216.0,216.0,scheduled_CIP,clogging,4.269694000000001,3.623496000000003,0.09898341043312255,21.54002128192201,9.10119e-05,0,1.0,3,839,0.003579952267303103,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
2026-01-08 13:50:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.005959,0.010331,asset_06_B00007,4.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,18.347882,42.255569,4.807965,257.052855,143.802891,113.249964,81.725689,44.97357,77.991619,49.119984,63.718585,1.566913,5.083687,81.618013,44.754196,0.0085474144,0.0982361324,0.1067835468,9.10355e-05,2417.648347,78992.148573,0.0005525,0.001105,0,stable,0,0,0,0,0.041193,0,0,0,0,0,none,none,0,none,790.0,763.0,525.0,730.0,0,0,0,217.0,217.0,scheduled_CIP,clogging,3.7340700000000027,4.146414,0.11282108658823183,17.953277867550014,9.10355e-05,0,1.0,4,839,0.00477326968973747,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
2026-01-08 13:51:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.007151,0.012397,asset_06_B00007,5.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,19.025749,44.004143,4.852024,255.422988,146.436174,108.986814,81.748221,44.976959,78.178122,49.302036,65.703379,1.747426,5.083687,81.618013,44.754196,0.0085551305,0.0982349602,0.1067900907,9.10642e-05,2417.6148,78958.439184,0.0005525,0.001105,0,stable,0,0,0,0,0.041206,0,0,0,0,0,none,none,0,none,789.0,762.0,524.0,729.0,0,0,0,218.0,218.0,scheduled_CIP,clogging,3.570098999999999,4.325077,0.11762111944920466,17.322206030375995,9.10642e-05,0,1.0,5,839,0.0059665871121718375,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
2026-01-08 13:52:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.008343,0.014463,asset_06_B00007,6.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,18.213861,43.988895,5.118234,259.842132,144.950839,114.891293,82.051925,44.931188,78.264792,48.919262,67.433388,1.646256,5.083687,81.618013,44.754196,0.0085642306,0.0982335777,0.1067978083,9.1098e-05,2417.575238,79515.424456,0.0005525,0.001105,0,stable,0,0,0,0,0.041221,0,0,0,0,0,none,none,0,none,788.0,761.0,523.0,728.0,0,0,0,219.0,219.0,scheduled_CIP,clogging,3.787132999999997,3.9880740000000046,0.10743520528700723,19.383432883121987,9.1098e-05,0,1.0,6,839,0.007159904534606206,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
2026-01-08 13:53:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.009535,0.016529,asset_06_B00007,7.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,18.940634,40.334922,4.978507,255.8945,145.66445,110.23005,81.669138,44.985442,78.189265,49.860763,68.972134,1.78368,5.083687,81.618013,44.754196,0.0085747087,0.0982319859,0.1068066946,9.1137e-05,2417.529687,79349.852774,0.0005525,0.001105,0,stable,0,0,0,0,0.041238,0,0,0,0,0,none,none,0,none,787.0,760.0,522.0,727.0,0,0,0,220.0,220.0,scheduled_CIP,clogging,3.4798729999999978,4.875321,0.1329015756754717,17.32457208961099,9.1137e-05,0,1.0,7,839,0.008353221957040573,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
2026-01-08 13:54:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.010727,0.018595,asset_06_B00007,8.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,17.771928,45.377992,5.124922,258.646362,145.388926,113.257436,81.534293,44.802047,77.787051,48.858388,70.29348,2.040756,5.083687,81.618013,44.754196,0.008586559,0.0982301856,0.1068167447,9.1181e-05,2417.478172,78972.77654,0.0005525,0.001105,0,stable,0,0,0,0,0.041258,0,0,0,0,0,none,none,0,none,786.0,759.0,521.0,726.0,0,0,0,221.0,221.0,scheduled_CIP,clogging,3.747242,4.056340999999996,0.11042997479653152,19.204322965124,9.1181e-05,0,1.0,8,839,0.00954653937947494,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
2026-01-08 13:55:00+00:00,asset_06,standard_phe,asset_06_C00007,asset_06_C00007,7,production,none,1,asset_06_C00007,0.011919,0.020661,asset_06_B00007,9.0,whole,1.158482,35.680334,32.753177,131.84206,17.974204,12.691464,6.63573,18.967104,44.501146,4.959965,258.098628,145.330848,112.767779,82.20342,45.270403,77.827212,49.468178,71.46829,1.813987,5.083687,81.618013,44.754196,0.0085997757,0.0982281777,0.1068279534,9.12302e-05,2417.42072,78628.865319,0.0005525,0.001105,0,stable,0,0,0,0,0.041281,0,0,0,0,0,none,none,0,none,785.0,758.0,520.0,725.0,0,0,0,222.0,222.0,scheduled_CIP,clogging,4.376207999999991,4.197775,0.11365914135853025,21.705838512719957,9.12302e-05,0,1.0,9,839,0.010739856801909307,2026-01-08 13:46:00+00:00,2026-01-09 03:44:00+00:00,1,0,0,0,1
