SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"7.1.3.4. CEREALES GRANO-CEBADA: Análisis provincial de superficie y producción según tipos, 2019",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,153,321,– ,– 
Lugo,22,52,– ,– 
Ourense,634,1427,– ,– 
Pontevedra,10,19,– ,– 
 GALICIA,819,1819,– ,– 
,,,,
 P. DE ASTURIAS,– ,– ,– ,– 
,,,,
 CANTABRIA,158,267,– ,– 
,,,,
Alava,13690,95830,– ,– 
Guipúzcoa,– ,– ,– ,– 
Vizcaya,– ,– ,– ,– 
 PAÍS VASCO,13690,95830,– ,– 
,,,,
 NAVARRA,77253,319902,– ,– 
,,,,
 LA RIOJA,17490,84021,– ,– 
,,,,
Huesca,172787,702152,2914,10305
Teruel,102417,225549,2110,4775
Zaragoza,192439,513474,3927,10476
 ARAGÓN,467643,1441175,8951,25556
,,,,
Barcelona,37235,138854,376,1403
Girona,19451,82240,810,2719
Lleida,103450,295901,415,1188
Tarragona,15089,34208,– ,– 
 CATALUÑA,175225,551203,1601,5310
,,,,
 BALEARES,8189,11178,12283,16766
,,,,
Avila,42256,59769,10378,15147
Burgos,148051,589874,4500,17739
León,22418,58318,1294,2323
Palencia,117388,354163,10000,30044
Salamanca,39074,75004,1000,1599
Segovia,60446,145264,15000,35216
Soria,82971,269825,8040,25577
Valladolid,184161,473750,1850,4707
Zamora,52771,141822,13192,35454
 CASTILLA Y LEÓN,749536,2167789,65254,167806
,,,,
 MADRID,53046,107904,946,1944
,,,,
Albacete,112826,351846,20500,53500
Ciudad Real,104715,236945,44877,107156
Cuenca,238028,570593,31205,74796
Guadalajara,91748,262178,10197,29140
Toledo,133177,215451,16656,25544
 CASTILLA–LA MANCHA,680494,1637013,123435,290136
,,,,
Alicante,2126,3240,705,1066
Castellón,3181,4560,140,221
Valencia,830,1345,7677,12546
 C. VALENCIANA,6137,9145,8522,13833
,,,,
 R. DE MURCIA,11227,14322,12113,18392
,,,,
Badajoz,58695,113938,– ,– 
Cáceres,1059,1488,– ,– 
 EXTREMADURA,59754,115426,– ,– 
,,,,
Almería,150,203,9232,16753
Cádiz,10890,13514,910,2712
Córdoba,8426,16991,13634,25896
Granada,36721,56199,5585,11414
Huelva,816,1767,969,2571
Jaén,7803,19195,241,565
Málaga,13075,38712,342,972
Sevilla,27720,83775,3080,11799
 ANDALUCÍA,105601,230356,33993,72682
,,,,
Las Palmas,105,150,– ,– 
S.C. de Tenerife,43,41,– ,– 
 CANARIAS,148,191,– ,– 
,,,,
ESPAÑA,2426410,6787541,267098,612425
