Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,6424,38287,207,1234
Lugo,1564,9322,521,3105
Ourense,1939,12627,0,0
Pontevedra,5146,25185,0,0
GALICIA,15073,85421,728,4339
P. DE ASTURIAS,218,567,213,554
CANTABRIA,0,0,12,18
Alava,0,0,4,19
Guipúzcoa,65,208,36,115
Vizcaya,32,120,40,136
PAIS VASCO,97,328,80,270
NAVARRA,15280,175740,0,0
LA RIOJA,428,5070,0,0
Huesca,66046,772738,4500,47250
Teruel,1971,22666,0,0
Zaragoza,15711,178033,0,0
ARAGON,83728,973437,4500,47250
Barcelona,196,1179,0,0
Girona,5912,62256,0,0
Lleida,33907,270035,0,0
Tarragona,84,751,0,0
CATALUÑA,40099,334221,0,0
BALEARES,119,657,0,0
Avila,410,4759,0,0
Burgos,661,9915,0,0
León,69019,855836,0,0
Palencia,0,0,3380,40682
Salamanca,17150,214752,0,0
Segovia,77,847,0,0
Soria,143,1645,0,0
Valladolid,5297,66032,0,0
Zamora,14019,199000,0,0
CASTILLA Y LEON,106776,1352786,3380,40682
MADRID,5042,56572,0,0
Albacete,6500,94250,0,0
Ciudad Real,4028,46346,0,0
Cuenca,662,7818,0,0
Guadalajara,2800,33545,0,0
Toledo,5425,61031,0,0
CASTILLA–LA MANCHA,19415,242990,0,0
Alicante,49,539,88,957
Castellón,39,213,82,171
Valencia,153,2219,0,0
C. VALENCIANA,241,2971,170,1128
R. DE MURCIA,128,1261,0,0
Badajoz,27307,391801,0,0
Cáceres,17557,265708,0,0
EXTREMADURA,44864,657509,0,0
Almería,8,29,0,0
Cádiz,2351,28297,0,0
Córdoba,2575,32152,0,0
Granada,0,0,2067,21935
Huelva,248,2340,0,0
Jaén,574,8036,0,0
Málaga,196,1846,0,0
Sevilla,7553,104383,0,0
ANDALUCIA,13505,177083,2067,21935
Las Palmas,204,586,201,510
S.C. de Tenerife,231,517,26,57
CANARIAS,435,1103,227,567
ESPAÑA,345448,4067716,11377,116743
