PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
PROTECCION FITOPATOLOGICA,2010,100.37,99.94,100.71,99.61,99.69,100.06,99.91,99.22,100.6,99.85,99.83,100.23,100
,2011,99.63,99.78,99.7,99.31,99.26,99.42,100.02,99.63,99.98,99.75,99.73,99.73,99.66
,2012,99.86,99.86,99.74,99.57,99.75,101.28,101.23,101.19,101.13,101.32,102.65,103.24,100.9
,2013,103.29,103.92,103.35,103.72,103.27,103.8,103.89,104.07,104.6,104.74,104.94,104.79,104.03
,2014,104.93,104.67,104.54,103.99,104.24,103.57,103.69,104.14,104.02,104.18,103.54,104,104.13
,2015,103.9,103.58,103.87,103.22,103.68,103.65,103.38,102.88,102.76,103.13,103.14,103.51,103.39
,2016,103.81,103.83,103.82,103.6,103.61,103.76,103.85,103.3,103.47,103.48,103.78,103.75,103.67
,2017,103.34,103.63,103.83,104,104.21,104.27,104.67,104.43,104.39,104.85,104.82,105.04,104.29
,2018,105.56,105.92,106.33,105.89,105.87,106.04,0,0,0,0,0,0,0
TRATAMIENTOS ZOOSANITARIOS,2010,99.75,99.85,99.95,100.15,99.95,99.75,99.75,99.77,99.97,100.17,100.37,100.57,100
,2011,100.28,99.88,99.78,99.78,99.88,99.68,99.88,99.87,99.87,99.97,99.99,99.99,99.9
,2012,100.09,100.29,100.49,100.49,100.79,100.89,101.09,101.09,101.4,101.4,101.5,101.52,100.92
,2013,101.52,101.72,101.92,102.13,102.13,102.13,102.23,102.32,102.32,102.53,102.55,102.56,102.17
,2014,102.76,102.97,103.07,103.07,103.1,102.89,102.89,102.59,102.43,102.43,102.33,102.13,102.72
,2015,102.15,102.15,102.18,102.19,102.24,102.24,102.26,102.29,102.31,102.31,102.41,102.31,102.25
,2016,103.02,102.82,103.02,102.92,102.71,102.92,102.71,102.61,102.71,102.67,102.49,102.48,102.76
,2017,103.4,103.6,103.92,104.02,104.44,104.02,104.23,104.12,104.23,104.12,104.12,104.12,104.03
,2018,104.43,104.5,104.43,104.41,104.39,104.56,0,0,0,0,0,0,0
CONS. Y REP. MAQUINARIA,2010,99.89,100.19,100.62,100.03,99.78,100.26,99.71,99.62,99.7,99.74,100.12,100.35,100
,2011,101.17,102.3,101.32,101.15,101.87,102.12,102.33,102.28,102.29,102.2,102.16,102.21,101.95
,2012,102.46,101.85,101.83,101.87,102.48,102.45,102.49,102.46,102.52,102.82,102.45,102.98,102.39
,2013,103.1,103.75,103.07,103.38,103.89,103.68,104.09,104.39,104.46,104.55,104.58,104.58,103.96
,2014,104.54,104.42,104.5,104.17,104.1,104.54,104.96,104.82,104.83,104.52,104.42,103.85,104.47
,2015,103.99,104.01,104.1,104.32,104.81,104.97,107.88,107.93,108.28,107.25,107.43,107.62,106.05
,2016,107.79,107.9,108.01,108.16,108.27,108.36,108.41,108.76,109.04,111.05,111.37,110.79,108.99
,2017,111.34,111.42,112.05,112.42,112.67,112.89,112.97,112.97,113.01,113.01,112.94,113.4,112.59
,2018,112.47,112.69,112.39,112.9,112.78,112.52,0,0,0,0,0,0,0
CONS. Y REP. EDIFICIOS,2010,99.51,99.23,99.13,98.73,98.65,99.36,100.54,101.07,101.02,100.52,100.99,101.22,100
,2011,100.85,100.85,101.45,103.51,104.43,104.5,104.98,104.92,104.97,105.15,105,104.67,103.78
,2012,105.03,104.68,104.48,105.31,105.76,106.01,106.01,106.08,105.72,104.7,104.62,104.56,105.25
,2013,104.47,104.35,104.42,104.67,105.07,104.88,104.53,104.54,104.13,103.95,104.27,104.27,104.46
,2014,104.41,104.41,104.26,104.44,104.35,104.28,104.42,104.51,104.39,104.44,104.34,104.52,104.4
,2015,103.95,103.73,103.46,103.3,103.28,103.4,103.86,104.03,103.9,103.91,103.54,103.34,103.64
,2016,101.68,100.95,100.79,100.38,100.3,100.35,101.3,102.35,102.63,102.68,102.29,102.28,101.5
,2017,101.78,102.32,102.63,102.63,102.96,103.11,102.95,102.93,102.91,103.98,103.97,104.54,103.06
,2018,104.01,104.02,104.36,104.81,105.04,105.09,0,0,0,0,0,0,0
