asset_id,sequence_id,cycle_id,cycle_index,rows,start_time,end_time,duration_h,observed_h_from_rows,median_dt_min,production_rows,production_row_pct,cip_rows,maintenance_rows,informative_row_pct,low_info_prod_pct,informative_within_production_pct,low_info_within_production_pct,max_stage,stage_mode,start_severity,end_severity,max_severity,severity_increase,fouling_onset_events,clog_onset_events,clog_rows,has_unplanned_horizon,phase_set,last_maintenance_type_mode,maintenance_events,planned_maint_events,unplanned_maint_events,maintenance_duration_min,maintenance_types,fault_types
asset_06,asset_06_C00013,asset_06_C00013,13,1449,2026-01-16 08:56:00+00:00,2026-01-17 09:04:00+00:00,24.133333333333333,24.15,1.0,1405,96.96342305037957,0,44,24.913733609385783,75.08626639061421,22.562277580071175,77.43772241992882,2,stable,3.60959e-05,0.0001022727,0.00306,6.617679999999999e-05,1,0,0,1,"maintenance,production",scheduled_CIP,1,0,1,44.0,CIP_extra,fouling
asset_05,asset_05_C00004,asset_05_C00004,4,953,2026-01-05 03:25:00+00:00,2026-01-05 19:17:00+00:00,15.866666666666667,15.883333333333333,1.0,916,96.11752360965373,37,0,39.03462749213011,60.96537250786989,36.572052401746724,63.427947598253276,2,stable,7.42658e-05,0.0002397527,0.0030494836,0.0001654869,1,0,0,0,"CIP_acid,CIP_alkaline,production",scheduled_CIP,1,1,0,37.0,scheduled_CIP,preventive
asset_01,asset_01_C00018,asset_01_C00018,18,699,2026-01-25 05:53:00+00:00,2026-01-25 17:31:00+00:00,11.633333333333333,11.65,1.0,667,95.42203147353362,0,32,50.21459227467812,49.78540772532189,47.82608695652174,52.17391304347826,2,stable,0.0002116432,0.0003393281,0.0029128933,0.0001276849,1,0,0,1,"maintenance,production",scheduled_CIP,1,0,1,32.0,CIP_extra,fouling
asset_01,asset_01_C00002,asset_01_C00002,2,1483,2026-01-02 07:18:00+00:00,2026-01-03 08:00:00+00:00,24.7,24.716666666666665,1.0,1441,97.16790289952799,0,42,50.101146325016856,49.89885367498314,48.64677307425399,51.35322692574601,2,stable,0.0002688371,9.43167e-05,0.0028631459,-0.00017452039999999998,1,0,0,1,"maintenance,production",scheduled_CIP,1,0,1,42.0,CIP_extra,fouling
asset_06,asset_06_C00008,asset_06_C00008,8,1281,2026-01-09 19:36:00+00:00,2026-01-10 16:56:00+00:00,21.333333333333332,21.35,1.0,1238,96.64324746291959,43,0,38.71975019516003,61.28024980483997,36.591276252019384,63.40872374798061,2,stable,4.20692e-05,0.0001044584,0.0028195994,6.23892e-05,1,0,0,0,"CIP_acid,CIP_alkaline,production",scheduled_CIP,1,1,0,43.0,scheduled_CIP,preventive
asset_05,asset_05_C00011,asset_05_C00011,11,1434,2026-01-16 09:42:00+00:00,2026-01-17 09:35:00+00:00,23.883333333333333,23.9,1.0,1394,97.21059972105998,40,0,34.30962343096235,65.69037656903765,32.42467718794835,67.57532281205165,2,stable,0.0001577775,0.0001109524,0.0027946961,-4.682510000000001e-05,1,0,0,0,"CIP_acid,CIP_alkaline,production",CIP_extra,1,1,0,40.0,scheduled_CIP,preventive
asset_06,asset_06_C00002,asset_06_C00002,2,786,2026-01-02 00:25:00+00:00,2026-01-02 13:30:00+00:00,13.083333333333334,13.1,1.0,740,94.14758269720102,46,0,61.704834605597966,38.295165394402034,59.32432432432433,40.67567567567568,2,stable,0.0001932023,7.21316e-05,0.0027707193,-0.0001210707,1,0,0,0,"CIP_acid,CIP_alkaline,production",scheduled_CIP,1,1,0,46.0,scheduled_CIP,preventive
asset_02,asset_02_C00006,asset_02_C00006,6,930,2026-01-08 03:06:00+00:00,2026-01-08 18:35:00+00:00,15.483333333333333,15.5,1.0,847,91.0752688172043,45,38,30.215053763440856,69.78494623655914,23.376623376623375,76.62337662337663,2,stable,0.0001795467,0.0001199638,0.0027407045,-5.958290000000001e-05,1,1,11,1,"CIP_acid,CIP_alkaline,maintenance,production",scheduled_CIP,2,1,1,83.0,"scheduled_CIP,unclog","clogging,preventive"
asset_05,asset_05_C00006,asset_05_C00006,6,1513,2026-01-08 02:54:00+00:00,2026-01-09 04:06:00+00:00,25.2,25.216666666666665,1.0,1472,97.29015201586253,27,14,38.79709187045604,61.20290812954396,37.09239130434783,62.90760869565217,2,stable,0.0001908676,0.0003597393,0.0027242027,0.00016887170000000004,1,1,30,1,"CIP_acid,CIP_alkaline,maintenance,production",scheduled_CIP,2,1,1,41.0,"scheduled_CIP,unclog","clogging,preventive"
asset_08,asset_08_C00001,asset_08_C00001,1,1261,2026-01-01 03:01:00+00:00,2026-01-02 00:01:00+00:00,21.0,21.016666666666666,1.0,1204,95.47977795400476,33,24,22.363203806502778,77.63679619349723,18.687707641196013,81.31229235880399,2,stable,5.58936e-05,0.0001266961,0.0027111683,7.080249999999998e-05,1,1,18,1,"CIP_acid,CIP_alkaline,maintenance,production",none,2,1,1,57.0,"scheduled_CIP,unclog","clogging,preventive"
