Fecha,ID_Serie,Parcela_ID,Temp_Amb_C,Hum_Rel_Pct,Lluvia_mm,Viento_kmh,CO2_ppm,VOC_ppb,Hum_Suelo_Pct,pH_Suelo
2022-06-12 09:00:00,3,bierzo,21.2,63.0,0.8,16.1,410.57428,18.250177,24.621103,6.5811663
2022-06-12 10:00:00,3,bierzo,22.1,59.0,0.0,8.0,397.78055,94.0807,24.618233,6.5808873
2022-06-12 11:00:00,3,bierzo,24.7,50.0,0.0,6.1,390.0077,133.04012,24.611858,6.5856752
2022-06-12 12:00:00,3,bierzo,26.7,43.0,0.0,6.8,393.15808,120.139595,24.603209,6.586815
2022-06-12 13:00:00,3,bierzo,28.9,37.0,0.0,4.7,391.0685,168.24971,24.593273,6.5904226
2022-06-12 14:00:00,3,bierzo,31.3,30.0,0.0,4.3,382.08835,193.3507,24.582258,6.5811467
2022-06-12 15:00:00,3,bierzo,31.8,30.0,0.0,7.3,388.53418,141.9923,24.569416,6.5714393
2022-06-12 16:00:00,3,bierzo,32.3,29.0,0.0,8.0,393.81818,117.968414,24.559025,6.5923805
2022-06-12 17:00:00,3,bierzo,31.9,30.0,0.0,3.4,383.4892,221.41382,24.5516,6.626993
2022-06-12 18:00:00,3,bierzo,32.1,29.0,0.0,7.1,389.0161,128.6488,24.543947,6.56247
2022-06-12 19:00:00,3,bierzo,31.5,31.0,0.0,8.7,393.59534,112.620094,24.53761,6.57875
2022-06-12 20:00:00,3,bierzo,30.5,36.0,0.0,8.8,439.58612,105.11073,24.533237,6.598368
2022-06-12 21:00:00,3,bierzo,29.0,44.0,0.0,6.6,448.1216,134.44875,24.530983,6.6143603
2022-06-12 22:00:00,3,bierzo,26.3,60.0,0.0,7.7,440.87085,113.52452,24.530432,6.653636
2022-06-12 23:00:00,3,bierzo,23.9,74.0,0.0,6.3,445.0863,134.57704,24.530432,6.6108255
2022-06-13 00:00:00,3,bierzo,22.2,81.0,0.0,5.5,439.82135,146.17847,24.530432,6.5723815
2022-06-13 01:00:00,3,bierzo,21.0,83.0,0.0,3.1,448.7189,193.09804,24.530432,6.6049705
2022-06-13 02:00:00,3,bierzo,19.9,77.0,0.0,4.8,438.29803,148.5789,24.530432,6.595015
2022-06-13 03:00:00,3,bierzo,19.6,72.0,0.0,5.8,437.04904,139.06302,24.530432,6.568045
2022-06-13 04:00:00,3,bierzo,19.1,71.0,0.0,4.9,440.19638,146.9958,24.530432,6.5786176
2022-06-13 05:00:00,3,bierzo,19.1,70.0,0.0,9.2,426.34982,84.49755,24.530432,6.551004
2022-06-13 06:00:00,3,bierzo,19.1,70.0,0.0,10.5,422.89536,67.675575,24.530432,6.552929
2022-06-13 07:00:00,3,bierzo,19.3,65.0,0.0,10.0,407.43378,68.87417,24.530432,6.573611
2022-06-13 08:00:00,3,bierzo,20.8,59.0,0.0,10.6,402.8732,77.29134,24.529789,6.5900655
2022-06-13 09:00:00,3,bierzo,23.1,53.0,0.0,9.0,399.71732,90.86671,24.527384,6.608064
2022-06-13 10:00:00,3,bierzo,25.1,48.0,0.0,8.8,401.33987,84.31156,24.522661,6.580781
2022-06-13 11:00:00,3,bierzo,27.5,43.0,0.0,7.8,392.8738,111.72144,24.515568,6.5695815
2022-06-13 12:00:00,3,bierzo,29.8,37.0,0.0,6.6,390.09738,146.76675,24.506353,6.62647
2022-06-13 13:00:00,3,bierzo,31.9,33.0,0.0,5.4,388.79715,170.15599,24.495476,6.565047
2022-06-13 14:00:00,3,bierzo,32.5,32.0,0.0,4.6,388.00787,170.04944,24.483747,6.5681343
2022-06-13 15:00:00,3,bierzo,33.9,28.0,0.0,4.7,384.51297,200.2372,24.472122,6.5783963
2022-06-13 16:00:00,3,bierzo,34.6,27.0,0.0,2.8,379.59067,236.3885,24.46112,6.6185946
2022-06-13 17:00:00,3,bierzo,35.3,23.0,0.0,3.8,382.1094,218.84853,24.450329,6.6018095
2022-06-13 18:00:00,3,bierzo,35.5,23.0,0.0,4.2,381.9594,205.1196,24.44087,6.5756397
2022-06-13 19:00:00,3,bierzo,35.9,18.0,0.0,9.6,398.7478,118.29192,24.432863,6.5837007
2022-06-13 20:00:00,3,bierzo,34.3,18.0,0.0,4.0,475.5477,205.98662,24.430384,6.585392
2022-06-13 21:00:00,3,bierzo,33.7,23.0,0.0,3.4,479.95004,216.57658,24.428246,6.552546
2022-06-13 22:00:00,3,bierzo,30.3,25.0,0.0,6.5,452.48254,149.80203,24.42764,6.5949416
2022-06-13 23:00:00,3,bierzo,26.1,38.0,0.0,7.2,443.74716,134.61095,24.42764,6.5873756
2022-06-14 00:00:00,3,bierzo,25.0,62.0,0.0,5.8,446.16196,142.6722,24.42764,6.583401
2022-06-14 01:00:00,3,bierzo,23.2,80.0,0.0,5.0,448.926,152.01988,24.42764,6.5930924
2022-06-14 02:00:00,3,bierzo,21.9,92.0,0.0,3.9,450.28494,181.86038,24.42764,6.6030464
2022-06-14 03:00:00,3,bierzo,21.1,95.0,0.0,3.3,447.25253,186.83417,24.42764,6.586589
2022-06-14 04:00:00,3,bierzo,20.3,94.0,0.0,4.2,443.2125,162.54924,24.42764,6.5842857
2022-06-14 05:00:00,3,bierzo,19.5,93.0,0.0,2.9,450.72137,200.60649,24.42764,6.6030765
2022-06-14 06:00:00,3,bierzo,19.4,91.0,0.0,2.9,446.8895,192.99847,24.42764,6.5640426
2022-06-14 07:00:00,3,bierzo,19.5,91.0,0.0,3.7,397.92804,186.90002,24.42764,6.561808
2022-06-14 08:00:00,3,bierzo,20.4,85.0,0.0,4.3,397.1363,166.48633,24.42712,6.583998
2022-06-14 09:00:00,3,bierzo,22.3,76.0,0.0,3.6,397.3492,187.81795,24.425089,6.6023846
2022-06-14 10:00:00,3,bierzo,24.5,63.0,0.0,3.1,392.47046,201.0365,24.42129,6.585841
2022-06-14 11:00:00,3,bierzo,27.4,49.0,0.0,2.2,390.87796,250.70515,24.415403,6.607645
2022-06-14 12:00:00,3,bierzo,30.2,38.0,0.0,1.4,388.5559,276.16153,24.407509,6.5824776
2022-06-14 13:00:00,3,bierzo,32.6,30.0,0.0,1.1,381.73752,303.32312,24.397814,6.6196756
2022-06-14 14:00:00,3,bierzo,34.2,25.0,0.0,11.5,402.4498,88.58766,24.38347,6.584283
2022-06-14 15:00:00,3,bierzo,35.4,20.0,0.0,16.6,410.9722,49.082394,24.366724,6.6010137
2022-06-14 16:00:00,3,bierzo,35.5,20.0,0.0,15.5,408.27283,40.96255,24.350813,6.602328
2022-06-14 17:00:00,3,bierzo,34.8,22.0,0.0,10.0,400.23868,100.065125,24.341196,6.5963387
2022-06-14 18:00:00,3,bierzo,34.9,20.0,0.0,9.3,397.2179,98.85178,24.331217,6.5901103
2022-06-14 19:00:00,3,bierzo,34.0,21.0,0.0,11.4,404.99222,81.14313,24.323185,6.5833325
2022-06-14 20:00:00,3,bierzo,32.8,26.0,0.0,12.0,423.47287,88.43588,24.317451,6.596122
2022-06-14 21:00:00,3,bierzo,30.8,36.0,0.0,11.2,430.84158,85.85641,24.314636,6.6085677
2022-06-14 22:00:00,3,bierzo,27.8,50.0,0.0,6.2,459.18124,145.7534,24.314062,6.6124115
2022-06-14 23:00:00,3,bierzo,25.3,61.0,0.0,4.5,456.21463,174.66356,24.314062,6.574488
2022-06-15 00:00:00,3,bierzo,23.8,69.0,0.0,4.7,454.42767,163.07774,24.314062,6.5709367
2022-06-15 01:00:00,3,bierzo,21.7,82.0,0.0,3.3,455.17545,203.85374,24.314062,6.5654364
2022-06-15 02:00:00,3,bierzo,20.3,91.0,0.0,3.3,447.23538,193.41315,24.314062,6.562724
2022-06-15 03:00:00,3,bierzo,19.5,95.0,0.0,2.6,452.75964,199.51488,24.314062,6.5959187
2022-06-15 04:00:00,3,bierzo,19.0,95.0,0.0,3.3,445.90274,191.66171,24.314062,6.599144
2022-06-15 05:00:00,3,bierzo,18.5,94.0,0.0,3.3,443.55707,179.60707,24.314062,6.6125836
2022-06-15 06:00:00,3,bierzo,17.8,94.0,0.0,5.0,437.94885,145.67894,24.314062,6.5884414
2022-06-15 07:00:00,3,bierzo,18.5,88.0,0.0,5.4,403.763,151.71309,24.314062,6.5805435
2022-06-15 08:00:00,3,bierzo,19.9,77.0,0.0,5.7,405.48608,152.66144,24.313496,6.625201
2022-06-15 09:00:00,3,bierzo,21.9,66.0,0.0,4.7,399.89917,173.61333,24.311386,6.581304
2022-06-15 10:00:00,3,bierzo,24.4,55.0,0.0,1.6,396.614,256.34393,24.307558,6.5607605
2022-06-15 11:00:00,3,bierzo,27.3,44.0,0.0,1.6,390.51675,274.5582,24.301678,6.5740433
2022-06-15 12:00:00,3,bierzo,30.2,34.0,0.0,1.5,388.53714,266.80667,24.294035,6.5690002
2022-06-15 13:00:00,3,bierzo,32.8,25.0,0.0,2.5,388.06882,248.90794,24.284054,6.606548
2022-06-15 14:00:00,3,bierzo,34.9,19.0,0.0,3.2,391.53946,232.6489,24.27304,6.5714526
2022-06-15 15:00:00,3,bierzo,35.6,18.0,0.0,11.3,401.75092,95.325645,24.259645,6.616572
2022-06-15 16:00:00,3,bierzo,33.8,22.0,0.0,10.4,407.3917,94.75544,24.251698,6.588139
2022-06-15 17:00:00,3,bierzo,34.1,22.0,0.0,7.2,393.51523,137.56993,24.24341,6.592915
2022-06-15 18:00:00,3,bierzo,33.9,21.0,0.0,5.9,389.93066,169.35843,24.238657,6.6061273
2022-06-15 19:00:00,3,bierzo,35.0,20.0,0.0,11.5,404.04965,76.318924,24.230324,6.6087346
2022-06-15 20:00:00,3,bierzo,34.1,20.0,0.0,12.0,429.09647,76.687416,24.224955,6.5818043
