PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
SULFATO AMONICO 21% (100 KG.),2005,13.78,13.81,14.17,14.17,14.41,14.12,14.15,14.07,14.08,14.14,14.17,14.14,14.1
,2006,14.36,14.47,14.43,14.44,14.44,14.66,14.41,14.41,14.43,14.6,14.66,14.81,14.51
,2007,15.1,15.2,15.1,15.35,15.73,15.59,15.62,15.9,15.78,16.87,17.73,18.21,16.02
,2008,21.13,21.78,23.02,23.47,25.1,25.51,27.69,29.31,28.77,30.46,29.43,28.18,26.15
,2009,25.1,23.8,23.51,22.26,22.05,21.57,21.74,21.38,20.33,19.12,18.62,18.31,21.48
,2010,18.14,18.73,17.58,18.33,18.31,17.73,17.59,17.43,18.83,19.93,20.11,21.54,18.69
,2011,22.59,23.18,23.55,23.73,23.49,23.49,23.65,24.23,24.71,24.91,24.77,24.78,23.92
,2012,24.5,24.45,24.53,24.67,25.2,25.43,25.2,25.19,25.25,24.68,24.67,25.04,24.9
,2013,25.54,26.17,26.07,25.87,25.75,25.52,25.61,25.11,24.66,24.22,24.14,23.81,25.21
,2014,23.19,23.1,23.03,22.98,22.98,22.58,22.52,22.44,22.59,22.44,22.46,23.14,22.79
NITROSULFATO AMONICO 26% (100 KG.),2005,20.39,20.4,20.38,20.51,20.69,21.1,20.94,20.9,20.78,20.6,20.51,21.09,20.69
,2006,21.33,20.65,20.57,20.72,20.97,20.52,20.53,20.54,20.62,20.5,21.01,21.05,20.75
,2007,21.18,21.33,21.44,21.5,21.81,22.14,22.22,22.23,22.63,23.1,23.36,24.66,22.3
,2008,26.91,27.27,28.31,27.58,32.96,33.55,34.77,36.17,36.95,37.36,37.09,33.23,32.68
,2009,32.28,31.9,31.84,29.42,31.06,30.22,29.72,26.44,25.8,24.43,23.69,23.86,28.39
,2010,23.5,23.27,23.62,23.71,24.05,24.3,23.96,24.55,25.53,26.35,27.21,29,24.92
,2011,30.63,32.13,32.59,32.47,32.06,32.15,32.33,32.34,32.59,32.58,32.59,32.24,32.23
,2012,32.35,32.34,32.27,32.13,32.12,32.48,32.31,32.25,32.58,32.51,32.82,33.88,32.5
,2013,33.27,33.55,33.65,33.41,33.49,32.93,33.11,33.11,32.01,31.62,31.49,31.43,32.76
,2014,31.44,31.62,31.97,33.24,33.17,32.94,32.1,32.45,32.04,32.28,33.15,32.87,32.44
NITRATO AMONICO CALCICO 26% (100 KG.),2005,18.87,19.01,18.99,18.77,18.8,18.92,19.14,19.24,19.46,19.98,20.14,20.44,19.31
,2006,20.52,20.53,20.46,20.37,20.47,20.43,20.39,20.46,20.44,20.49,20.59,21.04,20.52
,2007,20.69,20.58,20.61,20.59,20.49,20.67,20.72,20.72,21.34,21.76,21.95,23.71,21.15
,2008,25.39,27.33,30.32,30.73,33.73,33.89,34.04,35.42,37.46,38.54,38.64,34.93,33.37
,2009,33.42,30.79,27.94,25.69,24.77,23.13,22.35,22.19,20.79,18.07,18.2,18.48,23.82
,2010,20.58,21.64,21.84,21.9,21.99,21.84,21.98,22.84,24.74,25.96,26.84,27.5,23.3
,2011,30.08,30.48,30.35,30.3,29.19,29.22,29.54,29.56,29.92,30.49,30.29,30.42,29.99
,2012,29.8,29.71,29.39,28.98,28.4,28.67,29.01,29.33,29.71,29.84,29.76,29.64,29.35
,2013,29.31,29.66,29.74,29.98,29.82,29.59,29.25,29.09,28.33,27.71,27.38,27.81,28.97
,2014,27.99,29.28,30.23,30.22,29.83,29.38,28.58,28.78,28.89,29.29,29.54,30.12,29.34
"NITRATO AMONICO 33,5 (100 KG.)",2005,21,21.18,22.01,22.57,22.61,23.27,23.21,22.95,22.82,22.95,22.78,23.47,22.57
,2006,23.83,24.24,23.82,24.15,24.28,24.57,24.53,24.06,24.09,24.17,24.84,24.83,24.28
,2007,24.74,24.59,24.59,24.84,24.97,24.72,24.62,25.02,25.66,26.12,26.2,27.93,25.33
,2008,30.5,31.94,34.03,34.89,37.46,38.57,39.54,39.53,41.76,42.97,40.64,40.03,37.66
,2009,39.45,37.48,37.35,37.16,36.57,35.55,34.93,34.03,32.32,29.29,28.68,29.33,34.35
,2010,28.19,28.8,30.61,30.09,29.9,30.73,30.83,29.34,29.91,30.77,31.21,32.49,30.24
,2011,34.37,35.96,37.46,36.54,35.97,36.04,36.95,37.67,38.36,38.66,38.62,38.51,37.09
,2012,39.14,37.72,38.53,38.74,38.74,38.5,39.58,39.35,39.04,38.7,38.7,39.89,38.89
,2013,39.51,39.64,39.4,39.42,40.26,39.19,39.04,38.63,38.01,37.61,37.55,37.16,38.79
,2014,38.37,37.44,39.1,39.57,39.06,38.92,38.68,38.81,39.32,39.27,39.45,39.32,38.94
UREA 46% (100 KG.),2005,24.35,24.15,24.59,25,25.08,25.3,25.28,25.29,25.3,25.67,25.19,26.04,25.1
,2006,26.72,26.74,26.61,26.98,26.88,27.19,26.86,26.88,27,26.54,26.54,26.88,26.82
,2007,27.28,27.92,28.27,29.09,29.83,29.5,29.79,30.1,31.3,31.58,33.06,33.21,30.08
,2008,36.96,38.56,38.52,39.12,41.2,44.44,48.19,51.01,52.7,49.08,44.22,40.07,43.67
,2009,36.72,35.43,35.66,34.02,33.33,33.1,32.19,32.35,31.44,30.44,28.57,29.46,32.73
,2010,29.87,30.97,30.93,31.7,31.34,30.89,30.88,31.43,32.34,34.02,33.83,35.74,32
,2011,36.87,38.43,37.92,37.45,37.11,38.76,39.52,40.12,40.25,42.16,40.82,41.5,39.24
,2012,42.11,42.24,42.43,43.33,44.57,45.45,45.94,45.32,45.6,43.77,43.5,44.25,44.04
,2013,44.19,44.28,44.43,43.4,41.26,41.6,41.55,40.72,39.56,38.59,39.14,38.98,41.48
,2014,39.31,40.22,41.2,40.69,40.05,38.82,38.66,38.68,39.47,38.93,39,39.16,39.52
SUPERFOSFATO DE CAL 18% (GRANO) (100 KG),2005,14.5,14.34,14.63,14.6,14.99,15.15,15.03,15.09,15.18,15.06,15,15.06,14.89
,2006,14.91,14.83,14.82,14.87,14.98,14.94,14.95,14.9,14.89,14.93,14.74,14.69,14.87
,2007,14.88,14.88,14.93,14.9,15.06,15.32,15.21,15.55,16.24,16.61,17.19,18.94,15.81
,2008,20.58,21.95,22.54,22.84,24.27,24.75,27.47,28.16,28.25,29.2,29.17,29.66,25.74
,2009,29.22,28.77,26.49,25.75,25.37,24.31,23.85,23.06,21.45,19.78,18.28,18.16,23.71
