column,missing_pct
date,0.0
supply_index,0.7596
purchase_price_index,0.0
demand_index,0.0
manufacturing_context_profile,0.0
product_family,0.0
process_type,0.0
recipe_profile,0.0
formulation_class,0.0
expected_yield,0.0
expected_waste,0.0
process_lead_time_days,0.0
shelf_life_class,0.0
priority_level,0.0
cost_sensitivity,0.0
synthetic_plant_production_volume,0.0
synthetic_plant_capacity_utilization,0.0
synthetic_yield_rate,0.0
synthetic_waste_rate,0.0
synthetic_raw_material_requirement,0.0
synthetic_inventory_coverage_days,0.0
synthetic_inventory_level,0.0
synthetic_lead_time_days,0.0
synthetic_procurement_need_pressure,0.0
synthetic_procurement_need_coverage_gap,0.0
synthetic_procurement_need_hybrid,0.0
synthetic_procurement_need_refined,0.0
synthetic_procurement_need,0.0
synthetic_planned_orders,0.0
destination_profile,0.0
product_family_alias,0.0
raw_material_id,0.0
current_inventory_tons,0.0
expected_requirement_tons,0.0
lead_time_days,0.0
safety_coverage_days,0.0
expected_yield_rate,0.0
expected_waste_rate,0.0
unit_purchase_cost,0.0
shelf_life_days,0.0
projected_stock_after_lead_time_tons,0.0
safety_stock_tons,0.0
purchase_trigger_gap_tons,0.0
purchase_trigger_label,0.0
purchase_trigger_proba_heuristic,0.0
replenishment_gap_tons,0.0
quantity_optimizer_target_tons,0.0
baseline_order_quantity_tons,0.0
