Provincia,Cebada de 2 carreras - Superficie - (hectáreas),Cebada de 2 carreras - Producción - (toneladas),Cebada de 6 carreras - Superficie - (hectáreas),Cebada de 6 carreras - Producción - (toneladas)
A Coruña,184,379,0,0
Lugo,22,47,0,0
Ourense,691,946,0,0
Pontevedra,4,8,0,0
GALICIA,901,1380,0,0
P. DE ASTURIAS,0,0,0,0
CANTABRIA,152,343,0,0
Alava,17194,114770,0,0
Guipúzcoa,0,0,0,0
Vizcaya,0,0,0,0
PAÍS VASCO,17194,114770,0,0
NAVARRA,77718,334378,0,0
LA RIOJA,20042,105688,0,0
Huesca,178895,762306,2996,12008
Teruel,100974,331918,2549,7317
Zaragoza,191840,648933,3915,11287
ARAGÓN,471709,1743157,9460,30612
Barcelona,34303,140157,347,1416
Girona,18494,47186,771,1560
Lleida,102036,547176,410,2197
Tarragona,13426,46519,0,0
CATALUÑA,168259,781038,1528,5173
BALEARES,8476,11291,12715,16936
Avila,41882,172878,12537,51075
Burgos,174734,926134,5000,26370
León,20856,90087,1287,5097
Palencia,127775,626355,10000,49027
Salamanca,37005,155987,1000,4117
Segovia,65473,267326,15000,60400
Soria,101990,428552,5040,20827
Valladolid,197051,924160,1750,8208
Zamora,54029,236660,13507,59163
CASTILLA Y LEÓN,820795,3828139,65121,284284
MADRID,46007,127072,946,2477
Albacete,104576,377044,21500,69125
Ciudad Real,100585,381641,43108,166090
Cuenca,211434,756103,59509,212804
Guadalajara,95616,339420,10623,37710
Toledo,136443,512443,8710,32713
CASTILLA–LA MANCHA,648654,2366651,143450,518442
Alicante,2005,5616,1003,2810
Castellón,2877,5825,136,306
Valencia,903,2874,7214,22352
C. VALENCIANA,5785,14315,8353,25468
R. DE MURCIA,10789,40449,11573,32158
Badajoz,50939,155199,8989,22070
Cáceres,688,1948,205,460
EXTREMADURA,51627,157147,9194,22530
Almería,10,15,8727,28867
Cádiz,11335,25340,985,3152
Córdoba,9383,31946,13647,48454
Granada,20779,45807,17080,38448
Huelva,1800,5400,242,726
Jaén,5238,15033,1746,4656
Málaga,13926,41139,328,935
Sevilla,29938,90998,3327,10844
ANDALUCÍA,92409,255678,46082,136082
Las Palmas,57,87,0,0
S.C. de Tenerife,43,35,0,0
CANARIAS,100,122,0,0
ESPAÑA,2440617,9881618,308422,1074162
