Provincia,Trigo duro - Superficie - (hectáreas),Trigo duro - Producción - (toneladas),Trigo blando y semiduro - Superficie - (hectáreas),Trigo blando y semiduro - Producción - (toneladas)
A Coruña,2,6,1870,5685
Lugo,8,19,2690,6456
Ourense,0,0,8685,23449
Pontevedra,10,22,197,438
GALICIA,20,47,13442,36028
P. DE ASTURIAS,0,0,65,130
CANTABRIA,0,0,530,1200
Alava,0,0,20335,142345
Guipúzcoa,0,0,2,11
Vizcaya,0,0,0,0
PAÍS VASCO,0,0,20337,142356
NAVARRA,375,1315,77079,416918
LA RIOJA,31,170,27264,148133
Huesca,1701,6603,66137,318105
Teruel,1069,1964,34239,95964
Zaragoza,57515,167503,56612,193275
ARAGÓN,60285,176070,156988,607344
Barcelona,57,283,23106,105715
Girona,14,35,10274,35333
Lleida,163,718,50161,264988
Tarragona,27,92,6767,25654
CATALUÑA,261,1128,90308,431690
BALEARES,3,5,6072,10486
Avila,5,29,33499,146131
Burgos,341,1607,184171,965401
León,180,987,53480,243980
Palencia,154,834,118009,453920
Salamanca,55,212,69188,286921
Segovia,7,22,66657,270571
Soria,17,90,87740,381460
Valladolid,752,3356,104365,512921
Zamora,165,803,69471,300307
CASTILLA Y LEÓN,1676,7940,786580,3561612
MADRID,183,509,18274,51264
Albacete,505,3535,67042,253266
Ciudad Real,229,843,42150,147438
Cuenca,234,665,34706,111161
Guadalajara,157,158,59004,239910
Toledo,1424,4369,48220,166459
CASTILLA–LA MANCHA,2549,9570,251122,918234
Alicante,71,295,1317,4508
Castellón,30,70,765,1671
Valencia,95,293,2326,6959
C. VALENCIANA,196,658,4408,13138
R. DE MURCIA,148,331,8821,26777
Badajoz,5016,14723,62236,200139
Cáceres,245,647,4451,11171
EXTREMADURA,5261,15370,66687,211310
Almería,69,135,2901,6965
Cádiz,43442,106371,15732,47120
Córdoba,35914,133007,22076,81300
Granada,1671,4404,12310,29054
Huelva,9197,27683,5196,18026
Jaén,4189,14737,2384,8525
Málaga,11950,32185,6219,15624
Sevilla,73483,255820,66663,246143
ANDALUCÍA,179915,574342,133481,452757
Las Palmas,0,0,102,113
S.C. de Tenerife,0,0,136,115
CANARIAS,0,0,238,228
ESPAÑA,250903,787455,1661696,7029605
