Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,6285,43522,203,1218
Lugo,1531,10089,532,3506
Ourense,1900,11446,0,0
Pontevedra,5248,26293,0,0
GALICIA,14964,91350,735,4724
P. DE ASTURIAS,244,635,234,608
CANTABRIA,0,0,0,0
Alava,0,0,4,18
Guipúzcoa,65,215,36,118
Vizcaya,32,126,40,144
PAIS VASCO,97,341,80,280
NAVARRA,16106,183380,0,0
LA RIOJA,394,4793,0,0
Huesca,66339,826916,0,0
Teruel,1685,19003,0,0
Zaragoza,15839,202906,0,0
ARAGON,83863,1048825,0,0
Barcelona,179,1105,0,0
Girona,5989,79807,0,0
Lleida,33830,394005,0,0
Tarragona,79,790,0,0
CATALUÑA,40077,475707,0,0
BALEARES,125,686,0,0
Avila,1278,15208,0,0
Burgos,681,9456,0,0
León,71837,894371,0,0
Palencia,0,0,4109,48568
Salamanca,17082,227259,0,0
Segovia,51,536,0,0
Soria,79,948,0,0
Valladolid,5609,72440,0,0
Zamora,14856,214625,0,0
CASTILLA Y LEON,111473,1434843,4109,48568
MADRID,4519,56046,128,899
Albacete,6800,97920,0,0
Ciudad Real,1224,13178,0,0
Cuenca,656,7910,0,0
Guadalajara,2485,32227,0,0
Toledo,4651,47905,0,0
CASTILLA–LA MANCHA,15816,199140,0,0
Alicante,19,228,122,1452
Castellón,35,191,65,161
Valencia,79,1182,0,0
C. VALENCIANA,133,1601,187,1613
R. DE MURCIA,204,2066,0,0
Badajoz,23612,313072,0,0
Cáceres,17384,233120,0,0
EXTREMADURA,40996,546192,0,0
Almería,3,16,0,0
Cádiz,2054,29153,0,0
Córdoba,984,12300,0,0
Granada,0,0,1993,22018
Huelva,120,1591,0,0
Jaén,654,7194,0,0
Málaga,174,1653,0,0
Sevilla,2736,36686,0,0
ANDALUCIA,6725,88593,1993,22018
Las Palmas,156,341,190,351
S.C. de Tenerife,207,452,23,50
CANARIAS,363,793,213,401
ESPAÑA,336099,4134991,7679,79111
