SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"7.1.8.4. CEREALES GRANO-MAÍZ: Análisis provincial de superficie y producción según clases, 2020",,,,
,,,,
Provincias,Maíz híbrido,,Otros maíces,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,6285,43522,203,1218
Lugo,1531,10089,532,3506
Ourense,1900,11446,–,–
Pontevedra,5248,26293,–,–
 GALICIA,14964,91350,735,4724
,,,,
 P. DE ASTURIAS,244,635,234,608
,,,,
 CANTABRIA,–,–,–,–
,,,,
Alava,–,–,4,18
Guipúzcoa,65,215,36,118
Vizcaya,32,126,40,144
 PAIS VASCO,97,341,80,280
,,,,
 NAVARRA,16106,183380,–,–
,,,,
 LA RIOJA,394,4793,–,–
,,,,
Huesca,66339,826916,–,–
Teruel,1685,19003,–,–
Zaragoza,15839,202906,–,–
 ARAGON,83863,1048825,–,–
,,,,
Barcelona,179,1105,–,–
Girona,5989,79807,–,–
Lleida,33830,394005,–,–
Tarragona,79,790,–,–
 CATALUÑA,40077,475707,–,–
,,,,
 BALEARES,125,686,–,–
,,,,
Avila,1278,15208,–,–
Burgos,681,9456,–,–
León,71837,894371,–,–
Palencia,–,–,4109,48568
Salamanca,17082,227259,–,–
Segovia,51,536,–,–
Soria,79,948,–,–
Valladolid,5609,72440,–,–
Zamora,14856,214625,–,–
 CASTILLA Y LEON,111473,1434843,4109,48568
,,,,
 MADRID,4519,56046,128,899
,,,,
Albacete,6800,97920,–,–
Ciudad Real,1224,13178,–,–
Cuenca,656,7910,–,–
Guadalajara,2485,32227,–,–
Toledo,4651,47905,–,–
 CASTILLA–LA MANCHA,15816,199140,–,–
,,,,
Alicante,19,228,122,1452
Castellón,35,191,65,161
Valencia,79,1182,–,–
 C. VALENCIANA,133,1601,187,1613
,,,,
 R. DE MURCIA,204,2066,–,–
,,,,
Badajoz,23612,313072,–,–
Cáceres,17384,233120,–,–
 EXTREMADURA,40996,546192,–,–
,,,,
Almería,3,16,–,–
Cádiz,2054,29153,–,–
Córdoba,984,12300,–,–
Granada,–,–,1993,22018
Huelva,120,1591,–,–
Jaén,654,7194,–,–
Málaga,174,1653,–,–
Sevilla,2736,36686,–,–
 ANDALUCIA,6725,88593,1993,22018
,,,,
Las Palmas,156,341,190,351
S.C. de Tenerife,207,452,23,50
 CANARIAS,363,793,213,401
,,,,
ESPAÑA,336099,4134991,7679,79111
