SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"7.1.3.4. CEREALES GRANO-CEBADA: Análisis provincial de superficie y producción según tipos, 2021",,,,
,,,,
Provincias,Cebada de 2 carreras,,Cebada de 6 carreras,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,176,387,–,–
Lugo,28,64,–,–
Ourense,459,1056,–,–
Pontevedra,5,10,–,–
 GALICIA,668,1517,–,–
,,,,
 P. DE ASTURIAS,–,–,–,–
,,,,
 CANTABRIA,152,345,–,–
,,,,
Alava,14846,90561,–,–
Guipúzcoa,–,–,–,–
Vizcaya,–,–,–,–
 PAÍS VASCO,14846,90561,–,–
,,,,
 NAVARRA,69193,268105,–,–
,,,,
 LA RIOJA,17385,79443,–,–
,,,,
Huesca,158183,657231,2660,9864
Teruel,100231,318910,5806,18090
Zaragoza,173055,578548,3531,10041
 ARAGÓN,431469,1554689,11997,37995
,,,,
Barcelona,32617,122995,329,1242
Girona,16042,64185,668,2122
Lleida,92414,454990,371,1827
Tarragona,12133,44233,–,–
 CATALUÑA,153206,686403,1368,5191
,,,,
 BALEARES,8012,11137,12018,16705
,,,,
Avila,42727,137007,11033,34537
Burgos,147377,659016,4500,19886
León,20972,77909,1420,4686
Palencia,114660,426334,10000,37279
Salamanca,37774,134164,875,2931
Segovia,65265,218845,13000,43100
Soria,84982,318791,5040,18602
Valladolid,181467,701289,1750,6755
Zamora,62606,246241,3296,12965
 CASTILLA Y LEÓN,757830,2919596,50914,180741
,,,,
 MADRID,44041,106558,457,1301
,,,,
Albacete,96427,318159,21000,59400
Ciudad Real,95831,352362,41071,152594
Cuenca,227547,767950,32370,109060
Guadalajara,84684,262437,4457,13812
Toledo,116266,333848,22803,60817
 CASTILLA–LA MANCHA,620755,2034756,121701,395683
,,,,
Alicante,2254,6280,766,2179
Castellón,2902,5513,136,282
Valencia,7898,26119,416,1376
 C. VALENCIANA,13054,37912,1318,3837
,,,,
 R. DE MURCIA,9713,25658,10445,20452
,,,,
Badajoz,49106,133722,2438,5617
Cáceres,670,1452,42,76
 EXTREMADURA,49776,135174,2480,5693
,,,,
Almería,–,–,8296,11588
Cádiz,9198,24904,905,2440
Córdoba,7620,16779,10625,23659
Granada,21376,37932,14329,16968
Huelva,1303,4553,120,396
Jaén,3847,8738,2459,5115
Málaga,11902,30271,300,795
Sevilla,17440,53744,1940,6194
 ANDALUCÍA,72686,176921,38974,67155
,,,,
Las Palmas,62,92,–,–
S.C. de Tenerife,41,39,–,–
 CANARIAS,103,131,–,–
,,,,
ESPAÑA,2262889,8128906,251672,734753
