provincia_id,nombre,lat_centroide,lon_centroide
01,Araba/Álava,42.83493875135869,-2.718100041074741
02,Albacete,38.82754835338438,-1.9795424083372128
03,Alacant/Alicante,38.478572277536465,-0.567248285280583
04,Almería,37.19610314740895,-2.3452811604927803
05,Ávila,40.57229099491094,-4.945396998193062
06,Badajoz,38.7115002185918,-6.14120145448277
07,Illes Balears,39.5738148618403,2.907973793120057
08,Barcelona,41.73220295488999,1.98436712206422
09,Burgos,42.373325424482935,-3.58572216822109
10,Cáceres,39.7137956637238,-6.160317967462354
11,Cádiz,36.553875466007234,-5.760626178356707
12,Castelló/Castellón,40.24195746335441,-0.1456071092781702
13,Ciudad Real,38.92705458106916,-3.828832084144407
14,Córdoba,37.99485656902838,-4.809649093820608
15,A Coruña,43.12845797254708,-8.46222055094155
16,Cuenca,39.89900285015985,-2.1966999025851988
17,Girona,42.129089669555775,2.673692467447997
18,Granada,37.31622136175401,-3.2652038870239513
19,Guadalajara,40.81502276954275,-2.6227834118163096
20,Gipuzkoa/Guipúzcoa,43.145133836581245,-2.192639470642982
21,Huelva,37.5779375026106,-6.828557405832904
22,Huesca,42.2055248468586,-0.07329155574860546
23,Jaén,38.01841246166948,-3.44183824906563
24,León,42.62120907686903,-5.840390827031536
25,Lleida,42.04675759200456,1.0488463690274432
26,La Rioja,42.27513130345707,-2.5191226195848975
27,Lugo,43.01576129321103,-7.44599671275855
28,Madrid,40.49570492537809,-3.716297505604557
29,Málaga,36.81454600777327,-4.724683646824519
30,Murcia,38.00316076276596,-1.4838322714604668
31,Navarra,42.66967995255984,-1.6460051443046988
32,Ourense,42.19751485749716,-7.591528770009726
33,Asturias,43.29241408049785,-5.992136148482737
34,Palencia,42.373844352004404,-4.53671219321823
35,Las Palmas,28.36409427079205,-14.549960861519976
36,Pontevedra,42.43699850699372,-8.461208336709188
37,Salamanca,40.806833271773385,-6.065516027141592
38,Santa Cruz De Tenerife,28.315057275631244,-17.02519142871508
39,Cantabria,43.197614316884824,-4.030175638298632
40,Segovia,41.1724888485408,-4.052635974780771
41,Sevilla,37.43708160911728,-5.682432933590774
42,Soria,41.621684699189956,-2.588096941107098
43,Tarragona,41.08843229343225,0.8198247417077001
44,Teruel,40.66361128408589,-0.814254747382234
45,Toledo,39.794776077405714,-4.148381205683431
46,València/Valencia,39.3721961315895,-0.801009412418671
47,Valladolid,41.635264106607934,-4.847522856791113
48,Bizkaia/Vizcaya,43.238197785413185,-2.8535474832446948
49,Zamora,41.729053354563824,-5.981143425100381
50,Zaragoza,41.62435397797469,-1.0657427219088509
51,Ceuta,35.88877230894036,-5.344669001095974
52,Melilla,35.29177633896172,-2.948447937242432
