PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
PROTECCION FITOPATOLOGICA,2015,100.47,100.06,100.47,99.75,100.28,100.25,100.01,99.53,99.43,99.77,99.81,100.16,100
,2016,100.49,100.5,100.48,100.25,100.26,99.79,100.55,100.02,100.18,100.19,100.4,100.44,100.3
,2017,100.05,100.31,100.5,100.65,100.88,100.89,101.27,101.05,101.01,101.42,101.39,101.59,100.92
,2018,102.09,102.46,102.86,102.42,102.41,102.64,102.45,101.93,101.66,101.86,101.73,101.75,102.19
,2019,101.71,101.85,101.85,102.08,102.27,102.28,102.07,102.13,102.21,102.21,102.05,101.94,102.05
,2020,101.9,102.3,102.34,102.43,102.57,102.65,102.6,102.73,102.82,103.07,102.97,103.06,102.62
,2021,103.47,103.61,103.89,104.23,105.2,105.08,106.09,106.88,108.04,110.45,112.84,115.08,107.07
,2022,118.44,122.4,124.65,125.75,128.03,129.28,130.11,130.3,131.84,132.77,132.28,131.84,128.14
,2023,131.81,131.86,132.03,130.99,130.23,129.83,129.58,128.75,128.35,128.62,128.87,128.47,129.95
TRATAMIENTOS ZOOSANITARIOS,2015,99.9,99.9,99.93,99.94,99.98,99.98,100,100.03,100.05,100.05,100.15,100.05,100
,2016,100.75,100.55,100.75,100.65,100.45,100.65,100.45,100.35,100.45,100.41,100.23,100.22,100.49
,2017,101.12,101.32,101.63,101.73,102.13,101.73,101.93,101.83,101.93,101.83,101.83,101.83,101.74
,2018,102.13,102.23,102.11,102.13,102.09,102.25,102.21,102.26,102.38,102.44,102.67,102.65,102.3
,2019,102.95,103.06,102.95,104.3,104.32,103.38,103.48,103.37,103.4,103.41,103.57,103.38,103.46
,2020,103.47,103.56,103.91,103.81,103.8,103.84,103.86,104.14,104.11,104.19,104.07,104.15,103.91
,2021,104.55,104.99,105.13,105.16,105.21,105.15,105.13,105.07,105.14,105.11,105.2,105.26,105.09
,2022,106.09,106.48,106.58,106.7,106.95,107.02,107.01,107.6,107.76,107.81,107.91,107.38,107.11
,2023,108.53,109.32,109.17,109.5,109.91,109.41,109.6,109.43,109.53,109.83,109.69,109.45,109.45
CONS. Y REP. MAQUINARIA,2015,98.17,98.39,98.44,98.02,98.94,99.13,101.3,101.3,101.9,101.27,101.44,101.68,100
,2016,101.92,101.98,102.12,102.17,102.19,102.25,102.27,102.6,103,104.18,104.61,104.05,102.78
,2017,104.76,105.03,105.4,105.64,105.86,106.17,106.26,106.22,106.26,106.27,106.24,106.69,105.9
