PRODUCTOS,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiem.,Octubre,Noviem.,Diciem.,Anual
BIENES Y SERVICIOS DE USO CORRIENTE (INPUT I),2015,99.84,99.99,100.54,100.13,100.79,100.68,100.47,100.17,99.65,99.37,99.45,98.87,100
,2016,97.83,96.91,96.52,95.94,96.62,97.17,96.87,96.45,95.93,96.02,95.97,96.56,96.57
,2017,97.42,97.11,96.62,96.59,96.32,96.22,96.39,96.37,96.56,96.99,97.5,98.38,96.87
,2018,99.09,99.91,99.29,100.03,100.35,100.45,100.58,100.85,101.24,101.57,101.58,101.2,100.51
,2019,102.02,102.03,101.87,101.79,101.4,101.34,101.54,101.08,100.93,101.1,101.1,100.58,101.4
,2020,100.92,100.4,99.41,98.43,97.73,97.55,96.87,97.18,97.65,98.33,99.84,100.95,98.77
,2021,103.7,103.44,105.15,106.97,108.22,109.23,110.02,111.66,114.88,120.4,124.44,129.03,112.26
,2022,130.59,133.88,144.51,147.46,149.75,153.1,153.5,155.03,153.58,152.55,151.15,149.61,147.89
,2023,146.72,147.69,144.6,140.8,137.73,136.48,134.91,134.26,133.77,133.76,131.1,131.53,137.78
SEMILLAS Y PLANTONES,2015,98.13,98.64,98.95,99.16,98.76,99.27,99.17,99.78,100.59,102.03,102.64,102.89,100
,2016,104.48,104.48,104.48,104.48,104.48,104.48,104.48,104.48,104.48,104.48,104.91,104.91,104.55
,2017,105.12,105.12,105.12,105.12,105.12,105.12,105.12,105.12,105.12,105.12,104.57,104.57,105.03
,2018,107.95,107.95,107.95,107.95,107.95,107.95,107.95,107.95,107.95,107.95,109.12,107.9,108.05
,2019,108.3,107.83,107.36,106.88,106.41,105.93,105.93,105.93,105.93,105.93,105.47,105.47,106.45
,2020,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.19,104.63,104.63,104.26
,2021,105.87,105.87,105.87,105.1,105.87,105.87,105.87,105.87,105.87,105.87,106.25,106.25,105.87
,2022,108.31,109.17,109.17,109.17,109.17,109.17,109.17,109.17,109.17,109.17,109.98,109.98,109.23
,2023,112.78,115.16,117.13,119.11,120.46,121.36,121.91,122.41,122.78,122.4,125.32,125.54,120.53
      - SEMILLAS,2015,97.47,98.16,98.58,98.86,98.32,99.01,98.88,99.71,100.8,102.74,103.57,103.9,100
,2016,103.44,103.44,103.44,103.44,103.44,103.44,103.44,103.44,103.44,103.44,104.01,104.01,103.53
,2017,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,104.01,103.27,103.27,103.89
,2018,103.27,103.27,103.27,103.27,103.27,103.27,103.27,103.27,103.27,103.27,104.85,103.2,103.4
,2019,104.06,103.75,103.45,103.15,102.85,102.54,102.54,102.54,102.54,102.54,101.92,101.92,102.82
,2020,100.36,100.36,100.36,100.36,100.36,100.36,100.36,100.36,100.36,100.36,100.95,100.95,100.46
,2021,101.35,101.35,101.35,100.31,101.35,101.35,101.35,101.35,101.35,101.35,101.87,101.87,101.35
,2022,104.84,104.84,104.84,104.84,104.84,104.84,104.84,104.84,104.84,104.84,105.94,105.94,105.03
,2023,109.04,111.93,114.35,116.65,118.27,119.33,119.96,120.59,120.99,120.32,124.19,124.46,118.34
     - PLANTONES,2015,100,100,100,100,100,100,100,100,100,100,100,100,100
,2016,107.47,107.47,107.47,107.47,107.47,107.47,107.47,107.47,107.47,107.47,107.47,107.47,107.47
,2017,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28,108.28
,2018,121.34,121.34,121.34,121.34,121.34,121.34,121.34,121.34,121.34,121.34,121.34,121.34,121.34
,2019,120.44,119.5,118.52,117.54,116.6,115.62,115.62,115.62,115.62,115.62,115.62,115.62,116.83
,2020,115.14,115.14,115.14,115.14,115.14,115.14,115.14,115.14,115.14,115.14,115.14,115.14,115.14
,2021,118.79,118.79,118.79,118.79,118.79,118.79,118.79,118.79,118.79,118.79,118.79,118.79,118.79
,2022,118.22,121.54,121.54,121.54,121.54,121.54,121.54,121.54,121.54,121.54,121.54,121.54,121.26
,2023,123.46,124.37,125.06,126.15,126.74,127.18,127.51,127.61,127.88,128.35,128.53,128.62,126.79
FERTILIZANTES,2015,100.15,100.81,100.61,99.36,100.18,100.35,99.95,100.22,100.27,99.67,99.62,98.77,100
,2016,97.28,97,97.2,95.38,92.79,91.49,90.53,91.02,88.81,86.63,86.68,86.57,91.82
,2017,87.34,87.84,88.16,88.25,88.35,87.98,86.9,86.56,86.97,87.6,87.48,87.34,87.55
,2018,87.35,90.36,90.62,90.4,89.99,89.95,90.17,91,92.76,92.89,93.14,92.79,90.93
,2019,98.02,98.32,98.07,97.22,96.7,96.51,96.49,96.12,95.88,96.12,96.76,95.94,96.85
,2020,96.24,93.8,91.84,90.94,90.52,89.95,89.21,89.26,90.03,90.17,89.45,90.2,90.98
,2021,92.51,94.93,97.21,98.81,101.45,103.28,107.71,112.23,121.09,142.57,157.81,166.75,116.33
,2022,172.12,177.47,191.83,202.12,204.55,205,207.11,209.65,217.73,219.57,216.45,209.59,202.75
,2023,200.17,193.28,183.79,172.79,163.04,157.82,151.3,147.14,145.32,143.72,142.02,142.93,161.94
     - SIMPLES,2015,102.01,102.83,101.75,100.57,101.03,100.42,99.23,99.25,99.27,98.37,98.14,97.04,100
,2016,94.51,94.33,94.79,93.84,90.29,88.87,87.78,88.28,86.16,83.63,84.55,84.68,89.31
,2017,85.57,86.27,87.24,86.54,86.78,85.98,83.99,83.48,84.41,85.79,85.75,85.76,85.64
,2018,85.93,87.12,87.44,86.99,86.33,86.37,86.04,86.72,88.71,88.94,89.31,88.81,87.39
,2019,92.66,93.04,92.76,91.79,91.24,90.52,90.71,90.49,90.41,91.06,92.05,91,91.48
,2020,91.74,90.62,87.49,86.94,86.68,86.13,85.18,85.29,86.43,86.77,85.58,86.24,87.09
,2021,88.48,91.19,94.84,97.62,101.57,103.32,107.31,111.43,121.67,154.33,176.03,188.21,119.67
,2022,196.33,204.02,223.67,236.39,236.67,234.44,233.81,236.5,246.65,248.38,243.57,233.48,231.16
,2023,216.22,207.54,195.28,179.15,164.65,156.01,147.81,143.86,143.67,142.25,141.14,143.97,165.13
          + NITROGENADOS,2015,102.41,103.56,102.18,100.79,101.38,100.42,98.92,99.07,99.12,97.9,97.71,96.44,100
,2016,93.53,93.37,93.87,92.72,88.18,86.42,84.98,85.67,83.19,80.14,81.28,81.47,87.07
,2017,82.9,83.86,85.21,84.26,84.34,83.39,80.9,80.43,81.56,83.56,83.46,83.5,83.13
,2018,83.81,85.56,85.7,85.19,84.51,84.65,84.17,84.91,87.11,87.34,87.67,87.17,85.65
,2019,91.78,92.14,91.71,90.28,89.55,88.72,89.11,88.98,88.97,89.43,90.71,89.79,90.1
,2020,90.27,88.85,84.82,84.22,83.86,83.46,82.65,82.54,83.91,84.49,83.03,84.08,84.67
,2021,86.15,89.17,93.52,96.86,101.86,104.01,107.2,110.79,123.09,159.79,185.76,200.52,121.56
,2022,211.31,219.33,240.99,250.71,250.13,246.82,246.31,249.05,260.84,262.63,257.07,246.06,245.1
,2023,225.13,215.68,201.61,183.36,165.66,156.11,147.24,143.16,143.79,142.58,142.15,144.66,167.59
          + FOSFATADOS,2015,100.11,100.18,100.28,99.66,99.86,100.08,99.9,99.83,99.76,100.29,100.04,99.99,100
,2016,97.84,98.21,98.65,98.69,98.56,98.47,98.38,98.3,98.1,98.07,98.16,98.28,98.31
,2017,94.52,94.73,95.01,94.92,94.71,94.46,94.4,94.39,94.54,94.53,94.54,94.48,94.6
,2018,94.14,93.76,94.64,96.37,95.74,94.71,94.96,94.31,95.54,95.92,95.64,94.9,95.05
,2019,95.68,96.91,97.68,98.98,99.78,98.9,97.39,96.58,96.23,96.1,97.06,96.35,97.31
,2020,100.7,100.12,100.69,99.03,100.24,99.86,97.28,99.03,99.65,99.73,99.84,99.94,99.69
,2021,103.76,105.84,107.15,107.85,108.1,108.4,114.29,119.32,120.76,125.41,128.39,127.64,114.75
,2022,128.58,132.43,138,143.73,147.99,148.85,150.31,156.22,167.82,171.1,167.97,163.25,151.36
,2023,165.29,161.71,161.44,159.17,158.46,149.88,145.81,141.05,140.58,134.05,131.09,140.03,149.05
          + POTASICOS,2015,100.6,99.54,99.73,99.66,99.37,100.67,100.98,100.1,99.98,100.31,99.83,99.15,100
,2016,99.1,98.31,98.49,98.17,99.27,99.32,99.95,99.47,98.56,97.83,97.79,97.5,98.65
,2017,98.06,97.29,96.03,96.65,98.44,98.31,98.45,97.25,97.26,95.27,95.58,95.43,97.01
,2018,95,93.33,94.5,92.71,92.24,92.4,92.7,93.96,95.01,95.19,96.34,96.09,94.13
,2019,96.78,96.58,96.58,97.22,96.9,97.11,97.17,96.7,96.41,99.04,97.91,95.67,97
,2020,95.45,96.01,96.65,97.31,96.62,94.89,94.16,94.53,94.45,93.18,92.99,91.29,94.79
,2021,93.47,94.37,94.76,95.08,94.28,94.21,102.59,109.87,111.93,137.2,142.29,145.88,109.67
,2022,140.06,148.4,164.41,204.72,208.23,211.45,208.34,208.09,204.99,205.03,204.43,196.79,192.08
,2023,191.26,184.13,175.7,164.08,162.14,160.16,153.56,151.21,145.25,146.35,141.77,142,159.81
     - COMPUESTOS,2015,97.52,98.14,99.15,97.46,99.01,100.34,100.97,101.67,101.77,101.43,101.64,100.9,100
,2016,100.51,100.03,99.89,97.58,95.66,94.2,93.16,93.77,90.85,88.57,87.39,86.91,94.04
,2017,87.73,88.08,87.53,87.34,87.28,87.43,87.35,87.17,86.94,86.67,86.41,86.01,87.16
,2018,85.8,85.43,85.68,85.74,85.56,85.41,86.46,87.75,89.64,89.66,89.79,89.55,87.21
,2019,91.99,92.28,92.01,91.09,90.47,91,90.67,90,89.44,89.18,89.48,88.76,90.53
,2020,88.1,86.83,86.03,85.41,84.64,83.9,83.25,83.24,83.66,83.58,83.33,84.4,84.7
,2021,87.02,88.25,89.17,89.52,90.97,93.41,99.65,105.95,115.21,126.45,136.51,143.22,105.44
,2022,149.18,155.07,165.7,175.48,181.63,186.03,192.61,195.63,202.9,205.39,203.85,199.77,184.43
,2023,195.96,189.81,181.74,175.12,169.57,167.85,161.99,156.42,151.78,149.49,146.48,144.89,165.92
     - ENMIENDAS,2015,100,100,100,100,100,100,100,100,100,100,100,100,100
,2016,100,100,100,95.38,95.38,95.38,95.38,95.38,95.38,95.38,95.38,95.38,96.92
,2017,95.38,95.38,95.38,100.77,100.77,100.77,100.77,100.77,100.77,100.77,100.77,100.77,99.23
,2018,100.77,126.15,126.15,126.15,126.15,126.15,126.15,126.15,126.15,126.15,126.15,126.15,123.85
,2019,149.23,149.23,149.23,149.23,149.23,149.23,149.23,149.23,149.23,149.23,149.23,149.23,149.23
,2020,150.77,136.92,136.92,133.08,133.08,133.08,133.08,133.08,133.08,133.08,133.08,133.08,135.38
,2021,134.62,140,140,140,140,140,140,140,140,140,140,140,139.23
,2022,128.46,119.23,119.23,118.46,118.46,118.46,118.46,118.46,118.46,118.46,118.46,118.46,119.23
,2023,130,130,130,130,130,130,130,130,130,130,130,130,130
ALIMENTOS DE GANADO,2015,100.16,100.1,100.52,100.19,100.71,100.33,99.79,100.21,99.67,99.51,99.58,99.18,100
,2016,99.29,98.4,97.26,96.43,97.67,97.84,97.21,96.15,95.37,95.04,94.66,94.79,96.68
,2017,95.09,95.57,95.3,95.19,95.08,95.06,95.43,95.11,94.97,94.98,95.48,96.44,95.3
,2018,96.97,97.77,98.39,99.37,98.61,98.28,97.99,97.84,98.01,98.65,98.98,99.22,98.34
,2019,99.83,100.09,99.99,99.44,99.05,99.59,99.57,99.39,99.38,99.21,99.31,99,99.49
,2020,99.13,99.38,99.85,99.95,99.21,98.02,96.54,96.84,97.2,99.2,101.75,103.13,99.18
,2021,105.84,106.68,107.78,109.72,111.1,111.98,111.65,112.53,114.14,117.3,122.38,125.79,113.08
,2022,127.78,131.32,138.73,149.9,153,155.29,153.76,153.91,154.71,156.05,156.65,155.84,148.92
,2023,154.95,154.56,153.4,149.28,146.27,143.69,141.29,139.29,137.19,137.91,135.2,136.48,144.13
     - PIENSOS SIMPLES,2015,100,99.69,100.66,99.96,99.7,99.9,100.86,100.26,99.51,99.93,100.08,99.3,100
,2016,100.01,99.01,98.97,99.02,103.92,103.75,100.97,99.51,98.6,97.83,98.2,98.75,99.88
,2017,98.91,99.46,98.92,98.96,99.67,99.94,100.34,100.01,99.23,99.73,100.3,102.83,99.86
,2018,103.07,105.01,106.21,109.02,109.71,108.28,107.43,107.14,106.57,107.16,108.17,109.26,107.25
,2019,109.34,109.31,109.16,108.52,108.47,109.53,109.78,109.6,109.75,110.26,111.45,111.67,109.73
,2020,111.9,109.21,109.24,108.45,106.46,104.81,100.15,100.18,100.99,105.44,107.52,108.7,106.1
,2021,113.34,113.91,113.09,114.18,115.73,115.13,114.02,115.59,116.3,119.04,123.05,123.94,116.45
,2022,127.27,131.19,141.68,150.29,153.77,157.07,156.05,156.33,158.68,161.12,161.1,160.96,151.31
,2023,162.46,163.58,161.32,158.45,159.49,165.09,170.58,172.71,169.95,173.77,167.89,167.65,166.08
     - PIENSOS COMPUESTOS,2015,100.2,100.2,100.49,100.25,100.96,100.44,99.52,100.2,99.71,99.4,99.45,99.15,100
,2016,99.11,98.25,96.84,95.79,96.12,96.38,96.27,95.32,94.57,94.34,93.78,93.81,95.88
,2017,94.14,94.61,94.41,94.26,93.94,93.84,94.22,93.89,93.91,93.8,94.29,94.85,94.18
,2018,95.45,95.98,96.44,96.97,95.86,95.8,95.65,95.53,95.89,96.53,96.7,96.72,96.13
,2019,97.47,97.8,97.71,97.19,96.71,97.13,97.04,96.86,96.8,96.46,96.29,95.86,96.95
,2020,95.96,96.94,97.52,97.84,97.41,96.33,95.64,96.01,96.25,97.65,100.32,101.75,97.46
,2021,103.98,104.88,106.47,108.61,109.95,111.2,111.07,111.77,113.61,116.86,122.21,126.25,112.24
,2022,127.9,131.36,137.99,149.8,152.8,154.85,153.19,153.31,153.72,154.79,155.55,154.57,148.32
,2023,153.09,152.32,151.44,147.01,142.99,138.38,134.02,130.99,129.06,129.01,127.09,128.75,138.68
          + PARA BOVINO,2015,99.85,100.15,100.06,100.89,100.76,100.88,99.33,99.76,99.62,100.02,99.78,98.98,100
,2016,100.99,100.15,99.17,96.91,96.31,95.61,95.51,94.86,96.13,97.79,95.78,94.99,97.01
,2017,94.94,95.18,94.96,95.02,94.92,94.23,94.58,94.52,94.52,94.71,95.01,95.11,94.8
,2018,95.97,96.38,96.37,96.76,96.87,97.26,97.14,97.32,97.86,97.76,98.25,98.43,97.2
,2019,98.84,98.38,98.74,98.08,97.89,98.51,98.42,98.33,98.49,98.65,98.01,97.85,98.35
,2020,98.47,97.77,98.7,99.14,98.56,97.9,97.33,97.72,97.36,98.82,101.2,101.6,98.71
,2021,103.98,105.89,106.91,107.95,109.39,110.46,110.07,110.93,112.36,114.91,119.95,125.03,111.5
,2022,127.47,131.36,137.5,147.43,149.42,151.34,149.98,151.54,152.27,152.83,153.96,153.56,146.55
,2023,151.82,151.15,151.11,147.95,145.75,141.16,137.88,134.19,131.8,130.62,128.49,134.96,140.58
          + PARA OVINO Y CAPRINO,2015,98.99,99.31,99.43,100.51,100.59,100.07,100.29,100.98,99.89,99.97,99.73,100.21,100
,2016,99.66,98.57,97.72,96.74,96.6,97.61,97.66,96.98,94.72,94.37,94.21,92.79,96.48
,2017,93.1,93.06,92.94,92.31,91.99,92.89,92.69,92.09,92.14,92.05,92.6,92.94,92.57
,2018,93.2,93.8,94.48,94.82,94.66,94.62,93.95,93.83,94.75,93.91,94.56,94.31,94.25
,2019,94.33,94.09,93.97,92.81,93.28,94.15,94.06,93.92,94.29,94.07,93.67,93.14,93.82
,2020,92.89,93.01,94.25,95.48,95,93.41,92.17,91.88,92.7,94.68,97.66,99.03,94.36
,2021,100.75,102.34,103.95,105.22,105.85,108.06,108.16,109.36,112.29,114.45,119.21,121.57,109.26
,2022,123.8,126.87,136.83,146.96,149.17,149.3,146.48,149.33,149.83,149.7,151.68,150.64,144.22
,2023,149.16,149.3,149.01,144.65,140.13,135.87,133.86,131.46,127.97,127.17,127.47,127.28,136.95
          + PARA PORCINO,2015,100.57,100.5,101.02,99.69,101.36,100.45,99.29,100.05,99.53,99.03,99.42,99.05,100
,2016,98.7,97.53,96.08,95.03,96.22,96.83,96.49,95.06,93.94,93.69,93.77,94.41,95.65
,2017,95.05,95.73,95.48,94.98,94.66,94.81,95.58,95.04,94.92,94.95,95.3,96.31,95.23
,2018,97.08,97.68,98.58,99.12,96.9,96.83,96.26,96.77,97.3,99.06,99.04,99.08,97.81
,2019,100.43,101.22,100.89,100.3,99.56,99.86,99.88,99.62,99.52,99.05,98.98,98.47,99.82
,2020,98.49,98.94,99.53,99.64,99.15,97.69,97.09,97.76,97.61,99.24,102.11,104.14,99.27
,2021,106.49,107.45,109.43,112.24,113.7,114.96,115.07,115.52,117.53,121.18,127.18,131.59,116.03
,2022,133.23,136.07,142.2,156.12,159.81,162.29,160.01,158.46,158.7,160.18,160.54,159.3,153.92
,2023,158.11,156.93,155.47,149.4,144.56,140.96,134.85,132.04,129.77,130.03,128.8,128.97,140.81
          + PARA CONEJOS,2015,99.89,99.5,99.21,101.37,101.15,100.9,97.84,99.82,99.6,99.6,100.18,100.72,100
,2016,101.66,100.29,98.99,98.96,92.65,92.19,92.29,91.5,91.43,90.35,89.41,87.18,93.91
,2017,87.36,87.36,88.15,88.8,88.26,88.4,88.44,88.69,87.86,88.19,89.31,90.03,88.4
,2018,90.42,90.89,90.64,91.07,91.54,91.68,91.61,91.68,92.62,92.69,93.23,93.48,91.79
,2019,92.58,92.51,91.97,91.11,90.96,91.61,91.39,91.36,91,90.93,91.83,91.57,91.57
,2020,91.29,96.72,96.87,96.83,96.72,96.44,95.97,95.64,96.18,96.98,98.92,100.22,96.58
,2021,101.76,102.45,103.1,105.04,106.05,107.17,106.3,107.06,109.15,110.69,115.09,121.21,107.92
,2022,122.18,125.21,131.54,144.76,147.86,149.48,149.8,149.73,150.92,153.26,158.12,157.51,145.05
,2023,153.08,151.71,150.88,149.62,147.61,145.44,145.05,141.63,140.37,139.07,137.77,136.91,144.94
          + PARA  AVES,2015,100.04,99.91,100.15,100.62,100.44,100.11,100.07,100.69,100.07,99.48,99.17,99.16,100
,2016,98.18,97.89,96.15,95.91,95.98,96.29,96.54,96.11,94.73,93.22,92.58,92.54,95.52
,2017,92.65,93.03,92.84,93.15,92.7,92.42,92.26,92.11,92.44,91.84,92.64,92.79,92.57
,2018,92.98,93.46,93.55,94.18,93.82,93.41,94.07,92.65,92.42,91.95,92.12,92.02,93.06
,2019,92.21,92.42,92.46,92.3,91.86,92.26,91.98,91.86,91.68,91.16,91.11,90.63,91.83
,2020,90.56,93.52,93.73,94.2,93.96,93.27,92.39,92.38,93.66,94.56,97.1,98.24,93.96
,2021,100.33,100.27,101.65,103.63,104.82,106.03,105.67,106.64,108.27,111.67,116.27,118.99,107.01
,2022,120.06,124.36,131.73,141.43,144.09,145.83,145.05,146.56,146.97,147.8,148.49,147.51,140.82
,2023,145.95,145.73,145.13,142.35,138.36,131.74,128.95,125.95,125.15,125.6,122.25,123.42,133.39
