subproduct_type,season,generated_volume_tons,moisture_pct,process_temperature_c,reuse_strategy,co2_emissions_kg,co2_per_ton
Bran,Dry,21.83302936111936,11.85430689409354,780.943099056755,Biomass combustion,8556.805762137663,391.92022419828606
Silo dust,Dry,8.452550218260708,8.488544571541565,985.045455475869,Biomass combustion,4162.5360206328205,492.4591884281465
Silo dust,Rainy,31.75555604133166,16.807536553761533,461.5817299292813,Biochar,8794.670695454464,276.9490379575688
Straw,Dry,44.216810462812944,11.194548696418204,72.08442051182945,Composting,1496.021315951372,33.833768204731776
Bran,Rainy,23.96961864609432,12.841672511951032,407.9512128784585,Biochar,5867.060999344975,244.77072772707507
Bran,Dry,32.135866097186735,9.84642366427623,793.5535696180896,Biomass combustion,12762.55983549121,397.1437955614484
Straw,Dry,7.633423378225942,18.63208114649134,74.92156727740223,Animal feed,514.717238869785,67.42941054966201
Straw,Rainy,13.663446937315149,5.71848956393014,452.9308036041312,Biochar,618.8596001320556,45.29308036041313
Silo dust,Dry,28.375697394868368,8.012543996814534,835.7509187748874,Biomass combustion,11852.86889937149,417.7119855216328
Bran,Dry,0.1,24.905592528004437,65.82977672301595,Composting,3.133191068920638,31.33191068920638
Husk,Rainy,58.18582898144231,15.007558766903994,71.20872582792623,Animal feed,3729.0048687091166,64.08785324513362
Silo dust,Rainy,11.41287265522925,23.16549535706017,50.231684583325176,Animal feed,515.9590374664193,45.208516124992656
Husk,Dry,16.743557155010954,9.184728192854498,64.23654096990964,Composting,513.9370638430087,30.69461638796385
Bran,Rainy,11.28227521421866,13.755952883998404,963.8499085918702,Biomass combustion,5489.248924984943,486.5374067517014
Straw,Dry,57.599039363686686,9.617204338005775,985.6451197064011,Biomass combustion,28395.755037196275,492.9900802321085
Straw,Rainy,10.654083999892126,4.190720808742375,76.15771719865462,Composting,377.8267065092589,35.46308687946185
Husk,Dry,17.25056146947908,6.411794753199177,877.0408830951995,Biomass combustion,7547.1951128932415,437.50431696071314
Silo dust,Rainy,20.75427370769669,23.241285064886195,907.592412168296,Biomass combustion,9592.299494906089,462.1843014120412
Straw,Rainy,43.86040326840962,26.989888701566223,747.3411822502221,Biomass combustion,16619.777442332732,378.9244102619343
Husk,Rainy,32.54996254946698,26.0405944346215,332.75282077028487,Biochar,6498.655112581363,199.65169246217093
Bran,Dry,11.119601210985836,13.576854231944823,62.84518570694101,Composting,335.1233672915416,30.1380742827764
Silo dust,Rainy,22.49129337930793,35.21718710252071,58.29466341522546,Animal feed,1180.01013958786,52.46519707370292
Silo dust,Dry,49.74412349502961,19.41516719449498,522.8093733323827,Biochar,15604.016418843052,313.6856239994296
Straw,Dry,26.5038451701363,30.876898128049824,60.14707729357867,Composting,770.1707554607735,29.05883091743147
Bran,Dry,20.889205094185904,13.222651922107692,783.6432321918148,Biomass combustion,8231.005063631854,394.031511803328
Bran,Dry,13.37526172600534,13.01608037599902,60.45216210738418,Composting,390.3017046656931,29.180864842953675
Silo dust,Dry,51.69389378301249,32.71496547145979,1051.8097924433994,Biomass combustion,27510.311406287703,532.1771952750069
Straw,Dry,9.033800362781763,26.60649834352504,53.52903468570087,Animal feed,435.2135516667379,48.17613121713078
Husk,Rainy,56.14711731618519,11.630977767418113,394.3451103790736,Biochar,13284.804705310706,236.60706622744416
Bran,Dry,32.31449103747863,35.84093721949702,78.1440191977426,Animal feed,2272.66578719821,70.32961727796834
Bran,Dry,19.46630971556712,19.358553537890867,52.10974064725647,Composting,503.0852888327841,25.843896258902586
Bran,Rainy,48.15796175134963,9.970022949248223,554.4632355517707,Biochar,2670.181929023174,55.446323555177074
Husk,Rainy,2.633112187156972,34.336310235952226,665.180026175422,Biochar,1050.8961801455382,399.10801570525314
Silo dust,Rainy,9.844290391829404,29.092853871736512,382.855126274613,Biochar,2261.362224628683,229.71307576476775
Bran,Rainy,36.131168083657045,4.509859981666104,1148.6969400558198,Biomass combustion,20721.03577516045,573.4947657153948
Straw,Dry,7.098816643689871,5.293422175010504,615.450697656843,Biochar,436.89716558969394,61.545069765684296
Husk,Dry,55.897591985986935,19.00590226959624,375.1557575077967,Biochar,12582.182078618804,225.093454504678
Bran,Dry,21.29247480233758,20.17177736826241,428.43590631573016,Biochar,5473.476443786609,257.0615437894381
