SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"7.1.8.4. CEREALES GRANO-MAÍZ: Análisis provincial de superficie y producción según clases, 2022",,,,
,,,,
Provincias,Maíz híbrido,,Otros maíces,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,6039,43204,40,286
Lugo,1592,10908,423,2635
Ourense,1929,12701,–,–
Pontevedra,4784,24612,–,–
 GALICIA,14344,91425,463,2921
,,,,
 P. DE ASTURIAS,240,720,210,630
,,,,
 CANTABRIA,–,–,–,–
,,,,
Alava,–,–,3,10
Guipúzcoa,65,183,34,96
Vizcaya,32,94,39,100
 PAIS VASCO,97,277,76,206
,,,,
 NAVARRA,17356,184505,–,–
,,,,
 LA RIOJA,355,4242,–,–
,,,,
Huesca,64330,718700,–,–
Teruel,1916,19024,–,–
Zaragoza,18811,221834,–,–
 ARAGON,85057,959558,–,–
,,,,
Barcelona,99,462,–,–
Girona,4908,46258,–,–
Lleida,35067,356822,–,–
Tarragona,48,474,–,–
 CATALUÑA,40122,404016,–,–
,,,,
 BALEARES,107,591,–,–
,,,,
Avila,1073,14153,–,–
Burgos,843,10116,–,–
León,73715,928809,–,–
Palencia,–,–,656,7675
Salamanca,16793,222961,–,–
Segovia,24,252,–,–
Soria,33,462,–,–
Valladolid,3944,47328,–,–
Zamora,11495,151665,–,–
 CASTILLA Y LEON,107920,1375746,656,7675
,,,,
 MADRID,4085,50048,601,7183
,,,,
Albacete,8255,114332,–,–
Ciudad Real,381,4117,–,–
Cuenca,569,7105,–,–
Guadalajara,2523,30216,–,–
Toledo,5344,58784,–,–
 CASTILLA–LA MANCHA,17072,214554,–,–
,,,,
Alicante,23,299,177,2100
Castellón,23,132,41,101
Valencia,88,1408,–,–
 C. VALENCIANA,134,1839,218,2201
,,,,
 R. DE MURCIA,147,1500,–,–
,,,,
Badajoz,8630,94706,–,–
Cáceres,11640,134806,–,–
 EXTREMADURA,20270,229512,–,–
,,,,
Almería,14,70,–,–
Cádiz,–,–,1586,22509
Córdoba,125,1563,–,–
Granada,–,–,1634,15196
Huelva,30,240,–,–
Jaén,45,486,–,–
Málaga,45,372,–,–
Sevilla,738,9225,21,95
 ANDALUCIA,997,11956,3241,37800
,,,,
Las Palmas,164,351,139,290
S.C. de Tenerife,199,463,22,51
 CANARIAS,363,814,161,341
,,,,
ESPAÑA,308666,3531303,5626,58957
