Provincia,Maíz híbrido - Superficie - (hectáreas),Maíz híbrido - Producción - (toneladas),Otros maíces - Superficie - (hectáreas),Otros maíces - Producción - (toneladas)
A Coruña,6039,43204,40,286
Lugo,1592,10908,423,2635
Ourense,1929,12701,0,0
Pontevedra,4784,24612,0,0
GALICIA,14344,91425,463,2921
P. DE ASTURIAS,240,720,210,630
CANTABRIA,0,0,0,0
Alava,0,0,3,10
Guipúzcoa,65,183,34,96
Vizcaya,32,94,39,100
PAIS VASCO,97,277,76,206
NAVARRA,17356,184505,0,0
LA RIOJA,355,4242,0,0
Huesca,64330,718700,0,0
Teruel,1916,19024,0,0
Zaragoza,18811,221834,0,0
ARAGON,85057,959558,0,0
Barcelona,99,462,0,0
Girona,4908,46258,0,0
Lleida,35067,356822,0,0
Tarragona,48,474,0,0
CATALUÑA,40122,404016,0,0
BALEARES,107,591,0,0
Avila,1073,14153,0,0
Burgos,843,10116,0,0
León,73715,928809,0,0
Palencia,0,0,656,7675
Salamanca,16793,222961,0,0
Segovia,24,252,0,0
Soria,33,462,0,0
Valladolid,3944,47328,0,0
Zamora,11495,151665,0,0
CASTILLA Y LEON,107920,1375746,656,7675
MADRID,4085,50048,601,7183
Albacete,8255,114332,0,0
Ciudad Real,381,4117,0,0
Cuenca,569,7105,0,0
Guadalajara,2523,30216,0,0
Toledo,5344,58784,0,0
CASTILLA–LA MANCHA,17072,214554,0,0
Alicante,23,299,177,2100
Castellón,23,132,41,101
Valencia,88,1408,0,0
C. VALENCIANA,134,1839,218,2201
R. DE MURCIA,147,1500,0,0
Badajoz,8630,94706,0,0
Cáceres,11640,134806,0,0
EXTREMADURA,20270,229512,0,0
Almería,14,70,0,0
Cádiz,0,0,1586,22509
Córdoba,125,1563,0,0
Granada,0,0,1634,15196
Huelva,30,240,0,0
Jaén,45,486,0,0
Málaga,45,372,0,0
Sevilla,738,9225,21,95
ANDALUCIA,997,11956,3241,37800
Las Palmas,164,351,139,290
S.C. de Tenerife,199,463,22,51
CANARIAS,363,814,161,341
ESPAÑA,308666,3531303,5626,58957
