SUPERFICIES Y PRODUCCIONES DE CULTIVOS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
"7.1.2.4. CEREALES GRANO-TRIGO: Análisis provincial de superficie y producción según dureza del grano, 2022",,,,
,,,,
Provincias,Trigo duro,,Trigo blando y semiduro,
y,Superficie,Producción,Superficie,Producción
Comunidades Autónomas,(hectáreas),(toneladas),(hectáreas),(toneladas)
A Coruña,2,6,1633,5152
Lugo,230,627,3268,8905
Ourense,1,3,8139,24336
Pontevedra,3,7,172,399
 GALICIA,236,643,13212,38792
,,,,
 P. DE ASTURIAS,–,–,56,106
,,,,
 CANTABRIA,–,–,770,1995
,,,,
Alava,–,–,20804,93618
Guipúzcoa,–,–,1,4
Vizcaya,–,–,–,–
 PAÍS VASCO,–,–,20805,93622
,,,,
 NAVARRA,406,1310,83880,343760
,,,,
 LA RIOJA,8,38,27301,130929
,,,,
Huesca,2608,6548,83072,262029
Teruel,968,1472,43939,84576
Zaragoza,62555,154227,66008,183606
 ARAGÓN,66131,162247,193019,530211
,,,,
Barcelona,31,138,24752,76122
Girona,29,96,13809,54846
Lleida,166,458,56681,213236
Tarragona,78,125,6232,13672
 CATALUÑA,304,817,101474,357876
,,,,
 BALEARES,20,34,5076,8629
,,,,
Avila,29,35,36122,75384
Burgos,462,1565,210783,712042
León,42,198,59055,199264
Palencia,158,523,137034,502963
Salamanca,40,161,70486,207153
Segovia,70,167,69433,166568
Soria,16,51,111494,256280
Valladolid,561,2261,122689,357763
Zamora,87,216,76734,146964
 CASTILLA Y LEÓN,1465,5177,893830,2624381
,,,,
 MADRID,233,817,27725,77382
,,,,
Albacete,3643,24141,68107,201985
Ciudad Real,489,1730,50185,140424
Cuenca,828,2535,51734,105635
Guadalajara,299,820,76727,250094
Toledo,1438,3385,56535,123517
 CASTILLA–LA MANCHA,6697,32611,303288,821655
,,,,
Alicante,145,390,1337,3092
Castellón,21,29,699,1088
Valencia,158,270,2740,5062
 C. VALENCIANA,324,689,4776,9242
,,,,
 R. DE MURCIA,371,502,11189,24040
,,,,
Badajoz,5055,13253,75481,215819
Cáceres,262,619,4423,14063
 EXTREMADURA,5317,13872,79904,229882
,,,,
Almería,142,146,2968,3350
Cádiz,45495,111463,12903,38064
Córdoba,41463,97648,25765,61515
Granada,2325,3611,11577,9783
Huelva,9750,28763,4435,12196
Jaén,5112,12050,2421,5605
Málaga,12657,26890,5616,12725
Sevilla,80212,165074,60224,146593
 ANDALUCÍA,197156,445645,125909,289831
,,,,
Las Palmas,–,–,106,125
S.C. de Tenerife,–,–,135,148
 CANARIAS,–,–,241,273
,,,,
ESPAÑA,278668,664402,1892455,5582606
