date,raw_material_id,destination_profile,scenario_name,current_inventory_tons,expected_requirement_tons,lead_time_days,safety_coverage_days,expected_yield_rate,expected_waste_rate,synthetic_procurement_need,synthetic_procurement_need_pred,purchase_trigger_proba,purchase_trigger_flag,quantity_optimizer_recommendation_tons,baseline_order_quantity_tons,order_quantity_tons,replenishment_gap_tons,unit_purchase_cost,shelf_life_days,safety_stock_tons,baseline_inventory_after_order_tons,policy_inventory_after_order_tons,baseline_end_inventory_tons,policy_end_inventory_tons,baseline_excess_tons,excess_tons,baseline_stockout_tons,stockout_tons,trigger_rule_respected
2023-01-16,rm_cured_embutido,cured_embutido,test_split,3132.2700152550456,1953.025197286028,9,6.0,0.79,0.031,573.4124100528466,500.0917289444397,0.9999145306785656,1,576.9223009206734,613.5232068338539,576.9223009206734,494.77677970472087,1000.0,28.0,1674.0215976737384,3745.7932220888997,3709.192316175719,1792.7680248028717,1756.167118889691,118.74642712913328,82.14552121595261,0.0,0.0,True
2023-01-23,rm_cured_embutido,cured_embutido,test_split,3277.5871833991328,2017.5508422533828,9,6.0,0.79,0.031,564.2162376353366,534.9936756208511,0.999826863454057,1,549.7922544303901,581.9232607457229,549.7922544303901,469.2929522142927,1000.0,28.0,1729.3292933600424,3859.5104441448557,3827.379437829523,1841.9596018914729,1809.82859557614,112.6303085314305,80.4993022160977,0.0,0.0,True
2023-01-30,rm_cured_embutido,cured_embutido,test_split,3042.041264596236,1944.614874205561,9,6.0,0.79,0.031,605.5244647747968,449.8676076321683,0.9999685929493074,1,661.4285384004969,706.0390850711874,661.4285384004969,569.3863589283769,1000.0,28.0,1666.812749319052,3748.0803496674234,3703.469802996733,1803.4654754618625,1758.8549287911721,136.65272614281048,92.0421794721201,0.0,0.0,True
2023-02-06,rm_cured_embutido,cured_embutido,test_split,3759.22806415962,2034.4199488040736,9,6.0,0.79,0.031,456.8051601144121,384.2804454915256,0.9441828178578028,1,38.5121702623062,23.53571111659489,38.5121702623062,18.98041219080233,1000.0,28.0,1743.7885275463486,3782.763775276215,3797.7402344219263,1748.3438264721412,1763.3202856178527,4.555298925792613,19.5317580715041,0.0,0.0,True
2023-02-13,rm_cured_embutido,cured_embutido,test_split,3332.762564533888,1960.5687711966343,9,6.0,0.79,0.031,519.6310982422544,410.6514966494194,0.999046112164086,1,365.1343020336026,382.2842187907992,365.1343020336026,308.29372483128964,1000.0,28.0,1680.4875181685436,3715.046783324687,3697.8968665674906,1754.4780121280528,1737.3280953708563,73.9904939595092,56.840577202312716,0.0,0.0,True
2023-02-20,rm_cured_embutido,cured_embutido,test_split,3432.2578329275266,2001.4248701227743,9,6.0,0.79,0.031,506.7042233761184,395.7856448432287,0.9983601944968656,1,339.3486715358152,352.99584522402745,339.3486715358152,284.6740687290544,1000.0,28.0,1715.5070315338066,3785.253678151554,3771.606504463342,1783.8288080287798,1770.1816343405676,68.32177649497316,54.67460280676096,0.0,0.0,True
2023-02-27,rm_cured_embutido,cured_embutido,test_split,2991.163097362929,1918.757538281232,9,6.0,0.79,0.031,584.3381108145855,420.6772070968588,0.9999742520245856,1,663.6036392566792,709.5822617118905,663.6036392566792,572.243759445073,1000.0,28.0,1644.6493185267702,3700.7453590748196,3654.7667366196083,1781.9878207935876,1736.0091983383763,137.3385022668174,91.3598798116061,0.0,0.0,True
2023-03-06,rm_cured_embutido,cured_embutido,test_split,3138.7860706012493,1875.4920956526648,9,6.0,0.79,0.031,553.6758524532006,422.0892488971518,0.9996350051250378,1,403.7187464929807,426.89564130030186,403.7187464929807,344.27067846798536,1000.0,28.0,1607.5646534165699,3565.6817119015514,3542.50481709423,1690.1896162488865,1667.0127214415652,82.62496283231667,59.44806802499534,0.0,0.0,True
2023-03-13,rm_cured_embutido,cured_embutido,test_split,3594.311433799571,2092.964770400038,9,6.0,0.79,0.031,524.1893399527975,425.2986650061745,0.9974585192150488,1,350.6283695431192,362.8526933526192,350.6283695431192,292.6231398004993,1000.0,28.0,1793.9698032000326,3957.1641271521903,3944.9398033426905,1864.1993567521522,1851.9750329426524,70.22955355211957,58.005229742619804,0.0,0.0,True
2023-03-20,rm_cured_embutido,cured_embutido,test_split,3257.349441709301,1971.7428485491964,9,6.0,0.79,0.031,557.5867737155335,460.3100941591249,0.9997009262880676,1,474.5860788946421,501.52879493947313,474.5860788946421,404.4587055963493,1000.0,28.0,1690.065298756454,3758.8782366487744,3731.935520603943,1787.135388099578,1760.1926720547467,97.07008934312398,70.1273732982927,0.0,0.0,True
2023-03-27,rm_cured_embutido,cured_embutido,test_split,3529.8642905685588,1998.922371070855,9,6.0,0.79,0.031,452.2842576733793,413.7338212711501,0.9940730941774354,1,223.2202131564453,226.20093993244183,223.2202131564453,182.42011284874343,1000.0,28.0,1713.3620323464472,3756.0652305010008,3753.084503725004,1757.1428594301458,1754.1621326541492,43.78082708369857,40.800100307701996,0.0,0.0,True
2023-04-03,rm_cured_embutido,cured_embutido,test_split,3663.169637036068,1968.0607624909287,9,6.0,0.79,0.031,330.1736342411028,386.32739828433847,0.9468927381219387,1,14.8744061001903,0.0,14.8744061001903,0.0,1000.0,28.0,1686.9092249922246,3663.169637036068,3678.044043136258,1695.108874545139,1709.9832806453294,8.19964955291448,23.07405565310478,0.0,0.0,True
2023-04-10,rm_cured_embutido,cured_embutido,test_split,3114.177076958004,1968.5369185124227,9,6.0,0.79,0.031,345.28401896413715,447.5739495311977,0.9999493643755704,1,630.1461247391483,671.6797283463974,630.1461247391483,541.6772002793527,1000.0,28.0,1687.3173587249337,3785.8568053044014,3744.3232016971524,1817.3198867919787,1775.7862831847297,130.00252806704498,88.46892445979597,0.0,0.0,True
2023-04-17,rm_cured_embutido,cured_embutido,test_split,3223.3160986444286,2045.8422564868645,9,6.0,0.79,0.031,230.33693020140024,443.8539062626492,0.9999484757675492,1,671.5638642186404,714.3704911906593,671.5638642186404,576.1052348311769,1000.0,28.0,1753.579076988741,3937.686589835088,3894.879962863069,1891.8443333482235,1849.0377063762046,138.26525635948246,95.45862938746359,0.0,0.0,True
